Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
43,"Buckley, Dylan",25y 71d,41 (9-0-32 21.95%),18 (0.44),2 (0-0-2 0.00%),2 (1.00)
21,"Buntine, Matt",24y 219d,42 (20-0-22 47.62%),1 (0.02),←,
18,"Cameron, Jeremy",25y 55d,121 (48-3-70 40.91%),304 (2.51),←,
3,"Coniglio, Stephen",24y 162d,105 (45-1-59 43.33%),47 (0.45),←,
35,"Corr, Aidan",24y 9d,69 (28-3-38 42.75%),2 (0.03),←,
32,"Griffen, Ryan",31y 303d,248 (123-2-123 50.00%),153 (0.62),46 (26-1-19 57.61%),23 (0.50)
19,"Haynes, Nick",26y 8d,91 (40-3-48 45.60%),8 (0.09),←,
27,"Himmelberg, Harry",22y 18d,26 (16-1-9 63.46%),14 (0.54),←,
2,"Hopper, Jacob",21y 109d,31 (18-1-12 59.68%),12 (0.39),←,
22,"Kelly, Josh",23y 103d,88 (46-2-40 53.41%),56 (0.64),←,
17,"Langdon, Zac",22y 194d,7 (3-0-4 42.86%),7 (1.00),←,
38,"Lloyd, Daniel",26y 97d,17 (9-3-5 61.76%),12 (0.71),←,
37,"Lobb, Rory",25y 106d,61 (33-2-26 55.74%),55 (0.90),←,
39,"Mohr, Tim",29y 219d,48 (7-0-41 14.58%),1 (0.02),←,
12,"Patton, Jonathon",25y 6d,85 (40-3-42 48.82%),125 (1.47),←,
36,"Perryman, Harry",19y 158d,11 (4-1-6 40.91%),1 (0.09),←,
23,"Shaw, Heath",32y 180d,272 (163-5-104 60.85%),39 (0.14),99 (53-3-43 55.05%),2 (0.02)
5,"Shiel, Dylan",25y 78d,122 (50-3-69 42.21%),60 (0.49),←,
14,"Taranto, Tim",20y 118d,24 (14-1-9 60.42%),9 (0.38),←,
20,"Tomlinson, Adam",24y 289d,101 (36-3-62 37.13%),22 (0.22),←,
8,"Ward, Callan",28y 46d,202 (87-3-112 43.81%),101 (0.50),142 (55-3-84 39.79%),68 (0.48)
6,"Whitfield, Lachie",23y 312d,100 (42-3-55 43.50%),45 (0.45),←,
Totals,Totals,25y 14d,1912 (881-43-988 46.08%),1092 (0.57),,
C,"Cameron, Leon",45y 266d,103 (53-3-47 52.91%),,←,
