Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
27,"Alessio, Steven",27y 168d,95 (56-2-37 60.00%),108 (1.14),←,
16,"Barnard, Paul",26y 71d,51 (26-0-25 50.98%),11 (0.22),40 (23-0-17 57.50%),7 (0.17)
20,"Berbakov, Peter",25y 246d,49 (29-1-19 60.20%),13 (0.27),←,
8,"Bewick, Darren",31y 247d,200 (120-1-79 60.25%),305 (1.52),←,
32,"Blumfield, Justin",21y 152d,51 (27-0-24 52.94%),24 (0.47),←,
33,"Caracella, Blake",22y 41d,38 (19-0-19 50.00%),39 (1.03),←,
38,"Denham, Sean",29y 361d,171 (96-4-71 57.31%),65 (0.38),127 (72-4-51 58.27%),44 (0.35)
22,"Doolan, Ben",26y 105d,96 (44-3-49 47.40%),11 (0.11),71 (37-2-32 53.52%),7 (0.10)
36,"Eastaugh, Simon",25y 317d,13 (6-0-7 46.15%),,←,
31,"Fletcher, Dustin",23y 353d,114 (69-3-42 61.84%),35 (0.31),←,
30,"Fraser, Mark",28y 80d,92 (52-2-38 57.61%),44 (0.48),47 (26-2-19 57.45%),21 (0.45)
26,"Heffernan, Chris",20y 86d,20 (10-0-10 50.00%),5 (0.25),←,
14,"Johnson, Jason",21y 90d,12 (7-0-5 58.33%),2 (0.17),←,
18,"Lloyd, Matthew",21y 9d,64 (32-1-31 50.78%),184 (2.88),←,
25,"Lucas, Scott",21y 116d,64 (34-0-30 53.13%),91 (1.42),←,
2,"Mercuri, Mark",25y 63d,115 (70-3-42 62.17%),159 (1.38),←,
29,"Moorcroft, Gary",23y 9d,30 (16-0-14 53.33%),23 (0.77),←,
43,"Rioli, Dean",20y 340d,2 (2-0-0 100.00%),2 (1.00),←,
7,"Solomon, Dean",19y 106d,9 (2-0-7 22.22%),2 (0.22),←,
12,"Symons, Michael",27y 221d,100 (59-3-38 60.50%),78 (0.78),←,
21,"Wallis, Dean",29y 241d,92 (53-1-38 58.15%),29 (0.32),←,
6,"Wellman, Sean",24y 217d,92 (42-2-48 46.74%),13 (0.14),58 (29-1-28 50.86%),4 (0.07)
Totals,Totals,24y 248d,1570 (871-26-673 55.48%),1243 (0.79),,
C,"Sheedy, Kevin",51y 122d,428 (267-5-156 62.97%),,←,
