Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
4,"Ablett, Gary",35y 81d,339 (182-2-155 53.98%),432 (1.27),229 (147-2-80 64.63%),308 (1.34)
30,"Atkins, Tom",23y 319d,18 (13-0-5 72.22%),4 (0.22),←,
24,"Bews, Jed",25y 232d,77 (43-2-32 57.14%),7 (0.09),←,
46,"Blicavs, Mark",28y 128d,152 (101-2-49 67.11%),36 (0.24),←,
6,"Clark, Jordan",18y 291d,18 (13-0-5 72.22%),11 (0.61),←,
35,"Dangerfield, Patrick",29y 120d,242 (140-1-101 58.06%),275 (1.14),88 (59-1-28 67.61%),112 (1.27)
22,"Duncan, Mitch",28y 54d,199 (143-1-55 72.11%),144 (0.72),←,
29,"Guthrie, Cameron",26y 349d,156 (102-2-52 66.03%),50 (0.32),←,
26,"Hawkins, Tom",31y 13d,251 (180-2-69 72.11%),548 (2.18),←,
25,"Henderson, Lachie",29y 232d,167 (83-2-82 50.30%),112 (0.67),50 (33-1-16 67.00%),8 (0.16)
38,"Henry, Jack",20y 339d,39 (25-0-14 64.10%),8 (0.21),←,
11,"Kelly, Tim",25y 8d,42 (27-0-15 64.29%),41 (0.98),←,
8,"Kolodjashnij, Jake",23y 359d,88 (57-2-29 65.91%),,←,
27,"Menegola, Sam",27y 149d,61 (39-1-21 64.75%),47 (0.77),←,
32,"Miers, Gryan",20y 126d,19 (14-0-5 73.68%),19 (1.00),←,
17,"Ratugolea, Esava",21y 10d,22 (17-0-5 77.27%),16 (0.73),←,
23,"Rohan, Gary",28y 57d,123 (82-1-40 67.07%),120 (0.98),17 (12-0-5 70.59%),24 (1.41)
14,"Selwood, Joel",31y 69d,289 (213-1-75 73.88%),157 (0.54),←,
16,"Selwood, Scott",29y 129d,169 (89-1-79 52.96%),44 (0.26),34 (22-0-12 64.71%),7 (0.21)
9,"Smith, Zac",29y 162d,115 (47-1-67 41.30%),51 (0.44),50 (34-1-15 69.00%),20 (0.40)
44,"Stewart, Tom",26y 141d,62 (41-0-21 66.13%),3 (0.05),←,
2,"Tuohy, Zach",29y 236d,180 (85-2-93 47.78%),56 (0.31),60 (37-1-22 62.50%),16 (0.27)
Totals,Totals,26y 297d,2828 (1736-23-1069 61.39%),2181 (0.77),,
C,"Scott, Chris",43y 92d,209 (145-2-62 69.86%),,←,
