St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
16,"Butler, Dan",29y 32d,150 (83-0-67 55.33%),172 (1.15),105 (52-0-53 49.52%),119 (1.13)
47,"Caminiti, Anthony",21y 208d,49 (20-0-29 40.82%),37 (0.76),←,
11,"Clark, Hunter",26y 101d,106 (48-1-57 45.75%),14 (0.13),←,
34,"Garcia, Hugo",20y 44d,21 (9-0-12 42.86%),3 (0.14),←,
40,"Hall, Max",23y 81d,16 (5-0-11 31.25%),16 (1.00),←,
24,"Hastie, Angus",19y 289d,10 (4-0-6 40.00%),1 (0.10),←,
23,"Henry, Liam",23y 311d,58 (21-1-36 37.07%),21 (0.36),15 (5-0-10 33.33%),8 (0.53)
1,"Higgins, Jack",26y 108d,138 (75-1-62 54.71%),191 (1.38),95 (45-0-50 47.37%),162 (1.71)
8,"Hill, Bradley",31y 361d,270 (154-0-116 57.04%),108 (0.40),121 (60-0-61 49.59%),29 (0.24)
17,"Keeler, Isaac",21y 73d,10 (4-0-6 40.00%),9 (0.90),←,
6,"Macrae, Jack",30y 336d,263 (137-0-126 52.09%),60 (0.23),14 (4-0-10 28.57%),1 (0.07)
19,"Marshall, Rowan",29y 223d,149 (68-0-81 45.64%),74 (0.50),←,
10,"Owens, Mitch",21y 284d,68 (31-0-37 45.59%),69 (1.01),←,
43,"Sharman, Cooper",24y 345d,63 (27-0-36 42.86%),66 (1.05),←,
35,"Sinclair, Jack",30y 143d,203 (89-1-113 44.09%),67 (0.33),←,
9,"Steele, Jack",29y 204d,195 (84-1-110 43.33%),68 (0.35),178 (76-1-101 42.98%),59 (0.33)
26,"Tauru, Alix",18y 231d,3 (0-0-3 0.00%),,←,
7,"Wanganeen-Milera, Nasiah",22y 133d,79 (37-0-42 46.84%),15 (0.19),←,
29,"Webster, Jimmy",32y 7d,180 (74-1-105 41.39%),4 (0.02),←,
44,"Wilkie, Callum",29y 117d,148 (70-0-78 47.30%),1 (0.01),←,
22,"Wilson, Darcy",19y 321d,37 (15-0-22 40.54%),24 (0.65),←,
2,"Windhager, Marcus",22y 50d,68 (29-0-39 42.65%),10 (0.15),←,
32,"Wood, Mason",31y 295d,149 (74-0-75 49.66%),143 (0.96),84 (44-0-40 52.38%),67 (0.80)
Totals,Totals,25y 187d,2433 (1158-6-1269 47.60%),1173 (0.48),,
C,"Lyon, Ross",58y 239d,368 (201-5-162 55.30%),,184 (105-4-75 58.15%),
