Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
4 ↑,"Ah Chee, Callum",4,2,3,7,1,2.0,,,,1.0,,2.0,1.0,2.0,,2.0,6.0,,1.0,,,,59.0
31,"Andrews, Harris",10,4,1,11,,,,4.0,5.0,1.0,,,2.0,,,6.0,5.0,2.0,,13.0,,,98.0
33,"Bailey, Zac",14,3,10,24,1,1.0,,3.0,2.0,5.0,2.0,1.0,2.0,,,11.0,9.0,,1.0,1.0,,2.0,86.0
7,"Berry, Jarrod",8,2,6,14,,,,1.0,1.0,4.0,1.0,1.0,,1.0,,6.0,7.0,,,3.0,,1.0,76.0
23,"Cameron, Charlie",9,2,2,11,3,1.0,,3.0,,1.0,1.0,4.0,1.0,1.0,,7.0,4.0,1.0,1.0,2.0,,1.0,85.0
18,"Coleman, Keidean",14,2,2,16,,,,6.0,4.0,3.0,1.0,3.0,2.0,,,6.0,11.0,,,2.0,,,74.0
3,"Daniher, Joe",12,1,2,14,3,,3.0,2.0,,2.0,1.0,5.0,1.0,3.0,,5.0,6.0,,,1.0,,,96.0
27,"Gardiner, Darcy",5,2,3,8,,,,3.0,,,1.0,2.0,,,,4.0,3.0,1.0,,2.0,,,90.0
30,"Hipwood, Eric",8,2,3,11,3,1.0,1.0,,,4.0,2.0,3.0,3.0,1.0,,9.0,3.0,1.0,1.0,,,,89.0
36,"Mathieson, Rhys",5,3,9,14,,,,,1.0,1.0,,,1.0,,,9.0,6.0,,,1.0,,,68.0
11,"McCarthy, Lincoln",10,6,,10,1,1.0,,4.0,,7.0,1.0,3.0,,2.0,,3.0,9.0,,2.0,,,,82.0
6,"McCluggage, Hugh",17,6,9,26,1,,,6.0,6.0,5.0,6.0,4.0,3.0,,,11.0,15.0,,1.0,,,1.0,89.0
46 ↓,"McInerney, Oscar",1,,,1,,,2.0,1.0,,,,,,,,,,,,1.0,,,3.0
25,"McStay, Daniel",10,5,13,23,1,,10.0,6.0,,5.0,2.0,5.0,,,,6.0,16.0,,1.0,6.0,,,89.0
9,"Neale, Lachie",14,2,25,39,,,,3.0,2.0,6.0,15.0,3.0,,1.0,,21.0,19.0,,,2.0,,1.0,95.0
40,"Payne, Jack",7,3,4,11,,1.0,,1.0,6.0,1.0,,3.0,,,,7.0,5.0,,,11.0,,,97.0
20,"Prior, Jaxon",10,5,2,12,,,,3.0,4.0,,3.0,4.0,,,,3.0,9.0,,,1.0,,,70.0
10,"Rich, Daniel",15,3,2,17,,,,,7.0,2.0,1.0,3.0,2.0,1.0,,4.0,7.0,,,1.0,,1.0,83.0
2,"Robertson, Deven",2,,10,12,1,,,3.0,,,1.0,3.0,,1.0,,9.0,3.0,,,,,1.0,73.0
5,"Robinson, Mitch",5,,5,10,,,,1.0,1.0,1.0,1.0,2.0,,1.0,,6.0,6.0,,,2.0,,,61.0
37,"Starcevich, Brandon",7,2,6,13,,,,1.0,2.0,,1.0,7.0,2.0,3.0,,5.0,12.0,,,1.0,,,90.0
44,"Wilmot, Darcy",6,1,5,11,1,,,3.0,2.0,3.0,2.0,2.0,2.0,,,3.0,7.0,,,2.0,,,69.0
15,"Zorko, Dayne",17,8,4,21,,,,2.0,1.0,7.0,4.0,4.0,,1.0,,6.0,14.0,,,1.0,,1.0,79.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,210,64,126,336,16,10.0,16.0,56.0,44.0,59.0,46.0,64.0,22.0,18.0,,149.0,182.0,5.0,8.0,53.0,,9.0,
Opposition,Opposition,216,88,104,320,16,8.0,55.0,45.0,42.0,63.0,40.0,77.0,18.0,22.0,,144.0,162.0,15.0,17.0,58.0,6.0,13.0,
