Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
4,"Bontempelli, Marcus",26y 185d,181 (101-0-80 55.80%),171 (0.94),←,
36,"Cleary, Luke",20y 84d,3 (3-0-0 100.00%),,←,
31,"Dale, Bailey",25y 310d,96 (53-0-43 55.21%),72 (0.75),←,
35,"Daniel, Caleb",25y 325d,145 (80-0-65 55.17%),37 (0.26),←,
5,"Dunkley, Josh",25y 139d,104 (59-0-45 56.73%),57 (0.55),←,
15,"Duryea, Taylor",31y 34d,169 (115-1-53 68.34%),25 (0.15),51 (33-0-18 64.71%),4 (0.08)
44,"English, Tim",24y 291d,75 (42-0-33 56.00%),40 (0.53),←,
43,"Gardner, Ryan",24y 361d,32 (20-0-12 62.50%),2 (0.06),←,
42,"Keath, Alex",30y 128d,77 (46-1-30 60.39%),5 (0.06),47 (30-0-17 63.83%),4 (0.09)
24,"Khamis, Buku",22y 65d,5 (4-0-1 80.00%),5 (1.00),←,
21,"Liberatore, Tom",30y 12d,184 (89-0-95 48.37%),68 (0.37),←,
11,"Macrae, Jack",27y 298d,196 (105-0-91 53.57%),45 (0.23),←,
27,"McComb, Robbie",26y 160d,6 (4-0-2 66.67%),5 (0.83),←,
30,"McNeil, Lachlan",21y 108d,21 (15-0-6 71.43%),15 (0.71),←,
33,"Naughton, Aaron",22y 179d,89 (51-0-38 57.30%),125 (1.40),←,
22,"OBrien, Tim",28y 61d,104 (55-3-46 54.33%),73 (0.70),7 (4-0-3 57.14%),
20,"Richards, Ed",22y 329d,74 (38-0-36 51.35%),24 (0.32),←,
28,"Scott, Anthony",27y 89d,30 (21-0-9 70.00%),16 (0.53),←,
41,"Sweet, Jordon",24y 115d,8 (7-0-1 87.50%),1 (0.13),←,
1,"Treloar, Adam",29y 80d,201 (88-1-112 44.03%),121 (0.60),28 (18-0-10 64.29%),24 (0.86)
19,"Weightman, Cody",21y 133d,28 (16-0-12 57.14%),43 (1.54),←,
14,"West, Rhylee",21y 320d,15 (11-0-4 73.33%),5 (0.33),←,
34,"Williams, Bailey",24y 230d,92 (50-0-42 54.35%),15 (0.16),←,
Totals,Totals,25y 160d,1935 (1073-6-856 55.45%),970 (0.50),,
C,"Beveridge, Luke",51y 278d,171 (98-0-73 57.31%),,←,
