Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
27,"Baird, John",23y 291d,35 (18-1-16 52.86%),6 (0.17),←,
16,"Brown, Leigh",22y 34d,86 (31-1-54 36.63%),36 (0.42),23 (12-1-10 54.35%),16 (0.70)
2,"Colbert, Leigh",28y 295d,171 (98-2-71 57.89%),63 (0.37),66 (36-1-29 55.30%),13 (0.20)
24,"Firrito, Michael",20y 122d,3 (2-0-1 66.67%),1 (0.33),←,
6,"Grant, Shannon",26y 344d,193 (113-2-78 59.07%),212 (1.10),135 (81-1-53 60.37%),174 (1.29)
39,"Harding, Leigh",22y 337d,43 (22-1-20 52.33%),67 (1.56),←,
4,"Harris, Daniel",21y 323d,27 (14-1-12 53.70%),6 (0.22),←,
29,"Harvey, Brent",25y 319d,151 (92-1-58 61.26%),178 (1.18),←,
21,"Jones, Corey",23y 31d,39 (18-0-21 46.15%),40 (1.03),←,
34,"King, David",32y 21d,220 (136-1-83 62.05%),137 (0.62),←,
35,"Makepeace, Troy",25y 22d,85 (44-1-40 52.35%),20 (0.24),←,
5,"McKernan, Corey",30y 100d,224 (126-0-98 56.25%),294 (1.31),183 (120-0-63 65.57%),234 (1.28)
19,"Motlop, Daniel",22y 12d,23 (8-1-14 36.96%),20 (0.87),←,
20,"Petrie, Drew",21y 165d,42 (20-1-21 48.81%),39 (0.93),←,
17,"Porter, Mark",27y 169d,96 (49-1-46 51.56%),20 (0.21),41 (21-1-19 52.44%),7 (0.17)
3,"Rawlings, Brady",22y 292d,71 (42-0-29 59.15%),28 (0.39),←,
32,"Sansbury, Eddie",20y 123d,1 (1-0-0 100.00%),,←,
7,"Simpson, Adam",28y 41d,181 (114-1-66 63.26%),62 (0.34),←,
10,"Stevens, Anthony",32y 270d,273 (164-1-108 60.26%),122 (0.45),←,
12,"Stevens, Michael",23y 142d,22 (11-0-11 50.00%),4 (0.18),5 (3-0-2 60.00%),1 (0.20)
36,"Watt, Shannon",23y 123d,49 (25-1-23 52.04%),4 (0.08),←,
8,"Wells, Daniel",19y 54d,19 (11-1-7 60.53%),12 (0.63),←,
Totals,Totals,24y 265d,2054 (1159-18-877 56.43%),1371 (0.67),,
C,"Laidley, Dani",37y 1d,23 (12-1-10 54.35%),,←,
