Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",34y 78d,298 (175-0-123 58.72%),140 (0.47),←,
16,"Brown, Leigh",25y 107d,161 (66-1-94 41.30%),69 (0.43),98 (47-1-50 48.47%),49 (0.50)
43,"Campbell, Matt",20y 140d,10 (7-0-3 70.00%),9 (0.90),←,
27,"Edwards, Aaron",23y 100d,14 (11-0-3 78.57%),10 (0.71),10 (7-0-3 70.00%),8 (0.80)
24,"Firrito, Michael",23y 195d,69 (36-0-33 52.17%),12 (0.17),←,
6,"Grant, Shannon",30y 52d,266 (149-2-115 56.39%),317 (1.19),208 (117-1-90 56.49%),279 (1.34)
15,"Green, Kasey",27y 273d,82 (32-1-49 39.63%),22 (0.27),28 (11-0-17 39.29%),14 (0.50)
31,"Hale, David",23y 19d,65 (27-0-38 41.54%),36 (0.55),←,
4,"Harris, Daniel",25y 31d,102 (50-1-51 49.51%),31 (0.30),←,
29,"Harvey, Brent",29y 27d,227 (127-1-99 56.17%),263 (1.16),←,
21,"Jones, Corey",26y 104d,114 (53-0-61 46.49%),141 (1.24),←,
25,"Lower, Ed",19y 352d,5 (2-0-3 40.00%),2 (0.40),←,
1,"McIntosh, Hamish",22y 279d,29 (12-0-17 41.38%),12 (0.41),←,
20,"Petrie, Drew",24y 238d,117 (56-1-60 48.29%),80 (0.68),←,
30,"Pratt, Daniel",24y 81d,49 (25-0-24 51.02%),4 (0.08),46 (24-0-22 52.17%),3 (0.07)
3,"Rawlings, Brady",26y,144 (74-0-70 51.39%),52 (0.36),←,
7,"Simpson, Adam",31y 114d,253 (148-1-104 58.70%),73 (0.29),←,
9,"Sinclair, Jess",28y 288d,172 (68-1-103 39.83%),66 (0.38),122 (55-1-66 45.49%),40 (0.33)
10,"Smith, Jesse",20y 254d,12 (8-0-4 66.67%),1 (0.08),←,
19,"Swallow, Andrew",20y 8d,23 (10-0-13 43.48%),9 (0.39),←,
12,"Thomas, Lindsay",19y 102d,8 (4-0-4 50.00%),7 (0.88),←,
36,"Watt, Shannon",26y 196d,117 (59-1-57 50.85%),8 (0.07),←,
Totals,Totals,25y 38d,2337 (1199-10-1128 51.31%),1364 (0.58),,
C,"Laidley, Dani",40y 75d,100 (48-1-51 48.50%),,←,
