Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
12,"Ball, Luke",29y 335d,212 (143-1-68 67.69%),86 (0.41),70 (53-1-16 76.43%),28 (0.40)
17,"Beams, Dayne",24y 72d,97 (70-2-25 73.20%),101 (1.04),←,
11,"Blair, Jarryd",24y 11d,86 (64-1-21 75.00%),66 (0.77),←,
32,"Cloke, Travis",27y 51d,202 (130-2-70 64.85%),357 (1.77),←,
19,"Elliott, Jamie",21y 247d,41 (27-0-14 65.85%),50 (1.22),←,
1,"Fasolo, Alex",21y 321d,44 (31-0-13 70.45%),45 (1.02),←,
45,"Frost, Jack",22y 59d,8 (5-0-3 62.50%),,←,
6,"Goldsack, Tyson",26y 338d,110 (73-0-37 66.36%),42 (0.38),←,
4,"Grundy, Brodie",20y 10d,13 (8-0-5 61.54%),2 (0.15),←,
23,"Keeffe, Lachlan",24y 11d,26 (19-0-7 73.08%),6 (0.23),←,
41,"Langdon, Tom",19y 320d,6 (4-0-2 66.67%),,←,
8,"Lumumba, Heritier",27y 161d,184 (123-2-59 67.39%),26 (0.14),←,
3,"Macaffer, Brent",26y 56d,58 (39-2-17 68.97%),29 (0.50),←,
5,"Maxwell, Nick",30y 326d,204 (131-2-71 64.71%),29 (0.14),←,
10,"Pendlebury, Scott",26y 108d,177 (118-2-57 67.23%),119 (0.67),←,
22,"Sidebottom, Steele",23y 113d,114 (82-2-30 72.81%),90 (0.79),←,
36,"Swan, Dane",30y 59d,225 (141-2-82 63.11%),187 (0.83),←,
24,"Thomas, Josh",22y 206d,22 (16-0-6 72.73%),11 (0.50),←,
34,"Toovey, Alan",27y 33d,120 (85-2-33 71.67%),9 (0.08),←,
18,"White, Jesse",26y 106d,76 (39-2-35 52.63%),82 (1.08),5 (4-0-1 80.00%),9 (1.80)
15,"Witts, Jarrod",21y 224d,11 (8-0-3 72.73%),5 (0.45),←,
14,"Young, Clinton",28y 68d,124 (77-1-46 62.50%),62 (0.50),8 (6-0-2 75.00%),2 (0.25)
Totals,Totals,25y 31d,2160 (1433-23-704 66.34%),1404 (0.65),,
C,"Buckley, Nathan",41y 273d,54 (35-0-19 64.81%),,←,
