Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
3,"Bartram, Clint",21y 181d,58 (18-1-39 31.90%),12 (0.21),←,
6,"Bate, Matthew",22y 84d,67 (21-0-46 31.34%),67 (1.00),←,
25,"Cheney, Kyle",19y 356d,10 (1-0-9 10.00%),,←,
36,"Davey, Aaron",26y 67d,117 (48-1-68 41.45%),139 (1.19),←,
14,"Dunn, Lynden",22y 94d,51 (15-0-36 29.41%),36 (0.71),←,
8,"Frawley, James",20y 330d,38 (10-0-28 26.32%),1 (0.03),←,
39,"Jetta, Neville",19y 185d,13 (4-0-9 30.77%),5 (0.38),←,
11,"Johnson, Paul",25y 51d,60 (13-0-47 21.67%),16 (0.27),59 (12-0-47 20.34%),16 (0.27)
2,"Jones, Nathan",21y 208d,69 (15-1-53 22.46%),29 (0.42),←,
48,"Jurrah, Liam",20y 328d,7 (3-0-4 42.86%),15 (2.14),←,
34,"Martin, Stefan",22y 272d,26 (6-0-20 23.08%),6 (0.23),←,
23,"McDonald, James",32y 315d,233 (97-1-135 41.85%),51 (0.22),←,
5,"McLean, Brock",23y 158d,92 (37-1-54 40.76%),39 (0.42),←,
30,"McNamara, Tom",19y 109d,2 (1-0-1 50.00%),1 (0.50),←,
7,"Miller, Brad",26y 41d,126 (43-1-82 34.52%),78 (0.62),←,
22,"Moloney, Brent",25y 200d,88 (33-1-54 38.07%),21 (0.24),65 (21-0-44 32.31%),15 (0.23)
10,"Morton, Cale",19y 210d,38 (6-0-32 15.79%),21 (0.55),←,
15,"Petterd, Ricky",21y 23d,28 (7-0-21 25.00%),25 (0.89),←,
27,"Rivers, Jared",24y 302d,88 (38-1-49 43.75%),4 (0.05),←,
24,"Robertson, Russell",30y 265d,226 (105-1-120 46.68%),422 (1.87),←,
12,"Sylvia, Colin",23y 281d,85 (28-1-56 33.53%),63 (0.74),←,
44,"Valenti, Shane",22y 199d,14 (3-0-11 21.43%),5 (0.36),←,
Totals,Totals,23y 111d,1536 (552-10-974 35.94%),1056 (0.69),,
C,"Bailey, Dean",42y 210d,42 (7-0-35 16.67%),,←,
