Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Boak, Travis",14,4,9,23,1,1.0,,10.0,1.0,6.0,3.0,1.0,,,3.0,15.0,6.0,2.0,1.0,3.0,1.0,1.0,77.0
5,"Broadbent, Matthew",16,2,3,19,1,1.0,,4.0,,3.0,5.0,3.0,,1.0,,8.0,10.0,,,1.0,,1.0,76.0
20,"Brogan, Dean",9,3,4,13,,,36.0,3.0,1.0,5.0,3.0,5.0,2.0,2.0,,8.0,7.0,1.0,,4.0,,2.0,80.0
27,"Carlile, Alipate",12,5,2,14,,,1.0,2.0,5.0,,1.0,1.0,3.0,,,6.0,6.0,,,12.0,,,96.0
30,"Chaplin, Troy",11,5,1,12,,,,5.0,6.0,1.0,,,3.0,,,6.0,5.0,,,4.0,,,100.0
18,"Cornes, Kane",4,1,8,12,,,,7.0,2.0,,5.0,2.0,,1.0,,6.0,4.0,,,,,,83.0
17,"Gray, Robbie",10,2,3,13,4,2.0,,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,9.0,6.0,,1.0,3.0,1.0,2.0,90.0
8,"Hartlett, Hamish",13,3,3,16,,,,1.0,5.0,1.0,3.0,3.0,1.0,1.0,,8.0,8.0,,,1.0,1.0,,84.0
2 ↓,"Hitchcock, Cameron",,2,6,6,,,,2.0,,,,1.0,1.0,1.0,,2.0,4.0,,,1.0,,,56.0
16,"Jacobs, Ben",8,3,5,13,1,,,5.0,1.0,2.0,,2.0,1.0,1.0,,5.0,8.0,,1.0,,,,81.0
44,"Logan, Tom",9,3,7,16,,1.0,,,2.0,3.0,,2.0,1.0,,,7.0,9.0,1.0,,2.0,,,92.0
26 ↑,"Moore, Andrew",3,1,2,5,,,,1.0,,,2.0,,1.0,,,3.0,2.0,,,1.0,,,36.0
4,"Motlop, Daniel",8,2,4,12,,1.0,,1.0,2.0,2.0,,1.0,,1.0,,5.0,6.0,,,4.0,,1.0,82.0
13,"OShea, Cameron",13,4,1,14,1,,,7.0,,4.0,2.0,2.0,,1.0,,3.0,9.0,,,3.0,,,79.0
6,"Pearce, Danyle",16,3,4,20,,,,2.0,,10.0,2.0,1.0,1.0,,,5.0,15.0,,,1.0,2.0,1.0,87.0
36,"Pettigrew, Michael",6,2,2,8,,,,3.0,3.0,1.0,,1.0,,,,2.0,7.0,,,2.0,,,87.0
22,"Phillips, Simon",5,2,5,10,1,1.0,,6.0,,2.0,,3.0,2.0,1.0,,7.0,4.0,,,,,,90.0
29,"Pittard, Jasper",14,3,3,17,,1.0,,5.0,2.0,2.0,4.0,5.0,2.0,1.0,,8.0,6.0,,,2.0,,,77.0
28,"Schulz, Jay",10,3,5,15,3,1.0,,4.0,,2.0,,7.0,2.0,1.0,,9.0,5.0,1.0,2.0,1.0,,,88.0
21,"Thomas, Matt",10,1,8,18,,,,10.0,1.0,5.0,5.0,3.0,3.0,1.0,,14.0,3.0,,,,,1.0,83.0
12,"Trengove, Jackson",9,7,9,18,,,7.0,2.0,5.0,,3.0,3.0,2.0,1.0,,6.0,11.0,,,7.0,,,86.0
39,"Westhoff, Justin",17,6,5,22,1,,3.0,5.0,1.0,7.0,3.0,7.0,2.0,1.0,,9.0,11.0,,,1.0,1.0,,88.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,217,67,99,316,13,11.0,47.0,89.0,39.0,57.0,42.0,54.0,29.0,16.0,5.0,151.0,152.0,5.0,5.0,53.0,6.0,9.0,
Opposition,Opposition,199,67,163,362,10,14.0,32.0,61.0,41.0,56.0,45.0,54.0,16.0,29.0,1.0,154.0,203.0,7.0,7.0,31.0,3.0,4.0,
