Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
15,"Abraham, Winston",25y 206d,92 (58-0-34 63.04%),139 (1.51),54 (40-0-14 74.07%),84 (1.56)
14,"Anderson, Brady",24y 315d,26 (19-0-7 73.08%),2 (0.08),←,
26,"Bell, Peter",24y 52d,107 (74-0-33 69.16%),104 (0.97),105 (74-0-31 70.48%),102 (0.97)
12,"Blakey, John",33y 273d,306 (166-0-140 54.25%),99 (0.32),171 (114-0-57 66.67%),61 (0.36)
22,"Burton, Matthew",29y 339d,75 (25-0-50 33.33%),34 (0.45),5 (3-0-2 60.00%),2 (0.40)
18,"Carey, Wayne",28y 331d,213 (135-0-78 63.38%),579 (2.72),←,
23,"Clayton, Shane",21y 181d,50 (27-0-23 54.00%),16 (0.32),32 (25-0-7 78.13%),15 (0.47)
19,"Dhurrkay, Gary",26y 49d,68 (32-0-36 47.06%),63 (0.93),17 (12-0-5 70.59%),17 (1.00)
6,"Grant, Shannon",23y 3d,114 (74-1-39 65.35%),135 (1.18),56 (42-0-14 75.00%),97 (1.73)
29,"Harvey, Brent",21y 344d,71 (51-0-20 71.83%),78 (1.10),←,
21,"Hewitt, Evan",21y 290d,29 (18-0-11 62.07%),21 (0.72),←,
34,"King, David",28y 46d,139 (95-0-44 68.35%),52 (0.37),←,
27,"Lange, Adam",21y 101d,12 (8-0-4 66.67%),12 (1.00),←,
35,"Makepeace, Troy",21y 47d,4 (4-0-0 100.00%),1 (0.25),←,
4,"Martyn, Mick",31y 235d,246 (148-1-97 60.37%),14 (0.06),←,
5,"McCartney, Jason",26y 39d,128 (73-0-55 57.03%),52 (0.41),53 (39-0-14 73.58%),4 (0.08)
31,"McKernan, Corey",26y 125d,144 (101-0-43 70.14%),170 (1.18),←,
44,"Motlop, Shannon",21y 248d,12 (10-0-2 83.33%),9 (0.75),←,
28,"Pickett, Byron",22y 255d,58 (43-0-15 74.14%),2 (0.03),←,
13,"Pike, Martin",27y 160d,127 (62-0-65 48.82%),56 (0.44),67 (50-0-17 74.63%),16 (0.24)
7,"Simpson, Adam",24y 66d,97 (72-0-25 74.23%),37 (0.38),←,
36,"Watt, Shannon",19y 148d,5 (5-0-0 100.00%),1 (0.20),←,
Totals,Totals,25y 26d,2123 (1300-2-821 61.23%),1676 (0.79),,
C,"Pagan, Denis",52y 211d,177 (119-0-58 67.23%),,←,
