Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
22,"Bain, David",26y 105d,75 (14-1-60 19.33%),40 (0.53),←,
25,"Campbell, Matthew",28y 198d,75 (15-1-59 20.67%),24 (0.32),←,
1,"Champion, Richard",24y 123d,37 (5-1-31 14.86%),15 (0.41),←,
12,"Clarke, Troy",23y 68d,30 (4-1-25 15.00%),14 (0.47),←,
4,"Gastev, John",28y 4d,109 (34-1-74 31.65%),66 (0.61),79 (17-1-61 22.15%),35 (0.44)
14,"Hamilton, Shane",21y 363d,56 (15-0-41 26.79%),63 (1.13),29 (3-0-26 10.34%),23 (0.79)
41,"Kennedy, Matthew",22y 193d,36 (5-0-31 13.89%),8 (0.22),←,
42,"Kerinaiua, Adam",18y 59d,2 (0-0-2 0.00%),1 (0.50),←,
17,"Leslie, Martin",29y 272d,71 (14-1-56 20.42%),7 (0.10),←,
24,"Merrett, Roger",32y 118d,241 (118-3-120 49.59%),262 (1.09),92 (21-1-70 23.37%),114 (1.24)
26,"Noonan, Danny",23y 260d,37 (5-1-31 14.86%),16 (0.43),←,
5,"Owen, Rod",25y 197d,78 (23-0-55 29.49%),143 (1.83),9 (2-0-7 22.22%),21 (2.33)
44,"Palfreyman, Nigel",18y 318d,13 (1-1-11 11.54%),7 (0.54),←,
13,"Potter, Craig",26y 209d,53 (24-0-29 45.28%),19 (0.36),11 (2-0-9 18.18%),3 (0.27)
27,"Rendell, Matthew",33y 119d,175 (89-1-85 51.14%),106 (0.61),11 (2-0-9 18.18%),5 (0.45)
23,"Schache, Laurence",24y 303d,29 (3-1-25 12.07%),64 (2.21),←,
56,"Voss, Michael",17y 39d,4 (1-0-3 25.00%),,←,
33,"White, Darryl",19y 64d,18 (3-1-14 19.44%),15 (0.83),←,
18,"Worsfold, Peter",22y 35d,22 (2-1-19 11.36%),19 (0.86),←,
21,"Zanotti, Mark",27y 281d,99 (28-0-71 28.28%),11 (0.11),63 (11-0-52 17.46%),5 (0.08)
Totals,Totals,24y 258d,1260 (403-15-842 31.98%),900 (0.71),,
C,"Walls, Robert",42y 25d,241 (121-2-118 50.62%),,42 (6-1-35 15.48%),
