North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
18,"Atley, Shaun",9,2,8,17,,,,4.0,1.0,6.0,1.0,2.0,1.0,1.0,,2.0,14.0,,,1.0,,,89.0
3,"Bastinac, Ryan",11,3,11,22,1,,,5.0,,4.0,2.0,,2.0,,,8.0,15.0,,,2.0,,1.0,88.0
50,"Brown, Ben",11,4,2,13,3,2.0,6.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,5.0,8.0,,2.0,1.0,,,86.0
10,"Cunnington, Ben",8,3,9,17,3,,,4.0,2.0,1.0,6.0,1.0,,1.0,,9.0,7.0,,1.0,2.0,,,72.0
15,"Dal Santo, Nick",12,4,13,25,,,,2.0,4.0,3.0,8.0,4.0,2.0,2.0,,8.0,16.0,,,2.0,1.0,,92.0
11,"Firrito, Michael",10,2,5,15,,,,3.0,4.0,4.0,,1.0,2.0,1.0,,8.0,6.0,1.0,,4.0,,1.0,88.0
27,"Garner, Taylor",3,,5,8,,1.0,,8.0,1.0,,,2.0,2.0,,,3.0,4.0,,,1.0,,,76.0
43,"Gibson, Sam",8,5,12,20,1,1.0,,1.0,,2.0,,1.0,,1.0,,3.0,17.0,,2.0,3.0,,1.0,91.0
22,"Goldstein, Todd",8,2,7,15,,1.0,39.0,5.0,,4.0,6.0,4.0,5.0,2.0,,16.0,2.0,1.0,,4.0,,,86.0
29,"Harvey, Brent",8,7,19,27,2,,,4.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,7.0,20.0,,1.0,1.0,1.0,,89.0
4,"Higgins, Shaun",12,1,12,24,,1.0,,7.0,,8.0,6.0,4.0,1.0,2.0,,9.0,14.0,,,2.0,1.0,,92.0
5,"Jacobs, Ben",5,,3,8,,1.0,,10.0,1.0,2.0,2.0,1.0,,1.0,,4.0,5.0,,,1.0,,,81.0
21,"McDonald, Luke",7,6,9,16,,,,1.0,2.0,1.0,1.0,,,,,5.0,11.0,,,,,,80.0
20,"Petrie, Drew",14,6,2,16,4,1.0,,5.0,,4.0,,1.0,5.0,,3.0,8.0,8.0,1.0,4.0,2.0,,2.0,95.0
9,"Swallow, Andrew",9,2,11,20,,,,7.0,3.0,5.0,6.0,1.0,1.0,1.0,,9.0,9.0,,,1.0,,,74.0
25,"Tarrant, Robbie",7,4,3,10,,,,1.0,2.0,1.0,,4.0,1.0,3.0,,5.0,6.0,1.0,,5.0,,,88.0
12 ↑,"Thomas, Lindsay",7,2,3,10,,,,1.0,,4.0,,2.0,,,,,10.0,,,1.0,,1.0,27.0
16,"Thompson, Scott",12,2,4,16,,,,3.0,2.0,,,1.0,,1.0,,3.0,11.0,,,3.0,,,97.0
40,"Turner, Kayne",7,4,7,14,1,1.0,,6.0,,3.0,2.0,1.0,1.0,,,6.0,9.0,1.0,3.0,2.0,,2.0,79.0
30 ↓,"Waite, Jarrad",6,2,5,11,,1.0,,1.0,,3.0,,1.0,2.0,1.0,,4.0,7.0,,1.0,1.0,,,63.0
19,"Wright, Sam",6,2,9,15,,,,,3.0,,,2.0,1.0,,,6.0,8.0,,,1.0,,,87.0
7,"Ziebell, Jack",10,2,2,12,1,,,4.0,,2.0,4.0,3.0,2.0,1.0,,6.0,8.0,,,3.0,,2.0,79.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,190,65,161,351,16,14.0,45.0,84.0,27.0,61.0,50.0,41.0,32.0,21.0,6.0,134.0,215.0,5.0,14.0,43.0,3.0,10.0,
Opposition,Opposition,190,92,152,342,5,8.0,60.0,62.0,39.0,33.0,48.0,56.0,21.0,32.0,,124.0,223.0,6.0,6.0,49.0,4.0,1.0,
