Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ablett, Gary",27y 77d,208 (127-2-79 61.54%),278 (1.34),16 (3-0-13 18.75%),16 (1.00)
37,"Bennell, Harley",18y 301d,9 (2-0-7 22.22%),6 (0.67),←,
44,"Bock, Nathan",28y 132d,129 (63-0-66 48.84%),58 (0.45),16 (3-0-13 18.75%),1 (0.06)
3,"Brennan, Jared",27y 2d,136 (58-3-75 43.75%),85 (0.63),17 (3-0-14 17.65%),10 (0.59)
30,"Brown, Campbell",27y 336d,172 (76-1-95 44.48%),64 (0.37),13 (1-0-12 7.69%),
17,"Fraser, Josh",29y 206d,212 (112-1-99 53.07%),164 (0.77),12 (2-0-10 16.67%),8 (0.67)
5,"Harbrow, Jarrod",23y 12d,87 (43-1-43 50.00%),23 (0.26),17 (3-0-14 17.65%),2 (0.12)
7,"Hunt, Karmichael",24y 255d,13 (2-0-11 15.38%),1 (0.08),←,
13,"Jolly, Hayden",19y 117d,5 (1-0-4 20.00%),,←,
14,"Krakouer, Nathan",23y 86d,51 (22-0-29 43.14%),15 (0.29),11 (1-0-10 9.09%),8 (0.73)
46,"Lynch, Tom",18y 272d,11 (2-0-9 18.18%),15 (1.36),←,
45,"May, Steven",19y 201d,6 (0-0-6 0.00%),,←,
18,"McKenzie, Trent",19y 118d,16 (3-0-13 18.75%),10 (0.63),←,
41,"Prestia, Dion",18y 291d,13 (1-0-12 7.69%),1 (0.08),←,
35,"Rischitelli, Michael",25y 203d,127 (52-3-72 42.13%),53 (0.42),16 (3-0-13 18.75%),6 (0.38)
26,"Shaw, Matt",19y 175d,11 (2-0-9 18.18%),3 (0.27),←,
2,"Smith, Zac",21y 158d,16 (3-0-13 18.75%),11 (0.69),←,
25,"Stanley, Danny",23y 162d,22 (4-0-18 18.18%),15 (0.68),17 (3-0-14 17.65%),15 (0.88)
24,"Swallow, David",18y 253d,16 (3-0-13 18.75%),10 (0.63),←,
50,"Taylor, Jeremy",19y 43d,1 (0-0-1 0.00%),,←,
16,"Thompson, Rory",20y 140d,4 (1-0-3 25.00%),,←,
4,"Weller, Maverick",19y 167d,10 (1-0-9 10.00%),2 (0.20),←,
Totals,Totals,22y 152d,1275 (578-11-686 45.33%),814 (0.64),,
C,"McKenna, Guy",42y 80d,17 (3-0-14 17.65%),,←,
