Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
7,"Ash, Lachie",19y 273d,13 (7-0-6 53.85%),1 (0.08),←,
5,"Bruhn, Tanner",18y 298d,1 (0-0-1 0.00%),,←,
44,"Buckley, Jack",23y 94d,3 (0-0-3 0.00%),,←,
3,"Coniglio, Stephen",27y 96d,150 (70-1-79 47.00%),84 (0.56),←,
13,"Cumming, Isaac",22y 222d,11 (5-0-6 45.45%),,←,
1,"Davis, Phil",30y 203d,177 (88-3-86 50.56%),7 (0.04),159 (77-3-79 49.37%),6 (0.04)
24,"de Boer, Matt",31y 11d,201 (116-4-81 58.71%),76 (0.38),63 (38-3-22 62.70%),28 (0.44)
30,"Flynn, Matt",23y 189d,1 (0-0-1 0.00%),,←,
4,"Greene, Toby",27y 177d,159 (72-1-86 45.60%),184 (1.16),←,
12,"Green, Tom",20y 57d,7 (3-0-4 42.86%),2 (0.29),←,
19,"Haynes, Nick",28y 307d,146 (71-3-72 49.66%),9 (0.06),←,
37,"Hill, Bobby",21y 40d,14 (7-0-7 50.00%),12 (0.86),←,
27,"Himmelberg, Harry",24y 317d,82 (50-1-31 61.59%),94 (1.15),←,
2,"Hopper, Jacob",24y 43d,85 (51-1-33 60.59%),31 (0.36),←,
39,"Idun, Connor",20y 235d,4 (1-0-3 25.00%),,←,
25,"Keeffe, Lachlan",30y 341d,72 (40-0-32 55.56%),15 (0.21),32 (15-0-17 46.88%),8 (0.25)
22,"Kelly, Josh",26y 37d,133 (74-2-57 56.39%),82 (0.62),←,
33,"OHalloran, Xavier",20y 253d,3 (1-0-2 33.33%),,←,
36,"Perryman, Harry",22y 92d,53 (27-1-25 51.89%),15 (0.28),←,
50,"Reid, Sam",31y 134d,94 (51-3-40 55.85%),29 (0.31),84 (45-3-36 55.36%),28 (0.33)
14,"Taranto, Tim",23y 52d,75 (44-1-30 59.33%),29 (0.39),←,
15,"Taylor, Sam",21y 320d,35 (23-0-12 65.71%),1 (0.03),←,
8,"Ward, Callan",30y 345d,225 (100-3-122 45.11%),111 (0.49),165 (68-3-94 42.12%),78 (0.47)
Totals,Totals,24y 307d,1744 (901-24-819 51.66%),782 (0.45),,
C,"Cameron, Leon",48y 200d,161 (87-3-71 54.97%),,←,
