Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
1,"Boak, Travis",28y 334d,212 (98-1-113 46.46%),134 (0.63),←,
5,"Broadbent, Matthew",26y 334d,159 (71-1-87 44.97%),52 (0.33),←,
33,"Byrne-Jones, Darcy",21y 284d,34 (17-0-17 50.00%),4 (0.12),←,
17,"Clurey, Tom",23y 100d,32 (18-0-14 56.25%),,←,
22,"Dixon, Charlie",26y 281d,97 (35-1-61 36.60%),151 (1.56),32 (16-0-16 50.00%),57 (1.78)
7,"Ebert, Brad",27y 90d,204 (91-1-112 44.85%),106 (0.52),128 (63-1-64 49.61%),73 (0.57)
9,"Gray, Robbie",29y 93d,169 (78-0-91 46.15%),246 (1.46),←,
46,"Gray, Sam",25y 150d,48 (28-0-20 58.33%),27 (0.56),←,
8,"Hartlett, Hamish",26y 321d,139 (63-1-75 45.68%),71 (0.51),←,
43,"Houston, Dan",20y 50d,10 (6-0-4 60.00%),,←,
24,"Impey, Jarman",21y 357d,68 (36-0-32 52.94%),32 (0.47),←,
42,"Jonas, Tom",26y 173d,96 (47-1-48 49.48%),1 (0.01),←,
3,"Neade, Jake",23y 33d,54 (30-0-24 55.56%),48 (0.89),←,
29,"Pittard, Jasper",26y 91d,108 (56-0-52 51.85%),11 (0.10),←,
21,"Polec, Jared",24y 262d,75 (41-0-34 54.67%),41 (0.55),59 (34-0-25 57.63%),32 (0.54)
2,"Powell-Pepper, Sam",19y 174d,14 (8-0-6 57.14%),13 (0.93),←,
4,"Ryder, Paddy",29y 109d,201 (97-4-100 49.25%),141 (0.70),31 (18-0-13 58.06%),24 (0.77)
12,"Trengove, Jackson",26y 241d,148 (63-1-84 42.91%),24 (0.16),←,
39,"Westhoff, Justin",30y 273d,217 (100-1-116 46.31%),259 (1.19),←,
19,"White, Matt",30y 77d,149 (72-4-73 49.66%),97 (0.65),44 (28-0-16 63.64%),43 (0.98)
16,"Wines, Ollie",22y 267d,98 (53-0-45 54.08%),46 (0.47),←,
20,"Wingard, Chad",23y 337d,119 (59-1-59 50.00%),200 (1.68),←,
Totals,Totals,25y 201d,2451 (1167-17-1267 47.61%),1704 (0.70),,
C,"Hinkley, Ken",50y 274d,106 (59-0-47 55.66%),,←,
