St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
10,"Baker, Steven",29y 107d,176 (92-2-82 52.84%),34 (0.19),←,
14,"Ball, Luke",25y 104d,140 (89-0-51 63.57%),58 (0.41),←,
27,"Blake, Jason",28y 175d,159 (88-2-69 55.97%),33 (0.21),←,
16,"Clarke, Raphael",23y 347d,55 (37-0-18 67.27%),6 (0.11),←,
26,"Dal Santo, Nick",25y 196d,166 (98-2-66 59.64%),87 (0.52),←,
43,"Dawson, Zac",23y 196d,35 (23-0-12 65.71%),2 (0.06),21 (19-0-2 90.48%),2 (0.10)
40,"Eddy, Robert",21y 242d,22 (18-0-4 81.82%),7 (0.32),←,
25,"Fisher, Sam",27y 58d,118 (77-1-40 65.68%),12 (0.10),←,
15,"Gardiner, Michael",30y 63d,156 (86-2-68 55.77%),100 (0.64),27 (20-0-7 74.07%),13 (0.48)
19,"Gilbert, Sam",23y 18d,59 (40-1-18 68.64%),12 (0.20),←,
18,"Goddard, Brendon",24y 109d,135 (87-0-48 64.44%),54 (0.40),←,
1,"Gram, Jason",25y 132d,99 (63-1-35 64.14%),51 (0.52),97 (62-1-34 64.43%),51 (0.53)
7,"Hayes, Lenny",29y 235d,212 (105-3-104 50.24%),70 (0.33),←,
38,"Jones, Clinton",25y 216d,48 (37-1-10 78.13%),15 (0.31),←,
2,"King, Steven",30y 288d,232 (127-2-103 55.17%),83 (0.36),39 (28-0-11 71.79%),8 (0.21)
23,"Koschitzke, Justin",26y 351d,140 (79-1-60 56.79%),170 (1.21),←,
32,"McQualter, Andrew",23y 89d,57 (39-0-18 68.42%),28 (0.49),←,
44,"Milne, Stephen",29y 182d,186 (99-2-85 53.76%),376 (2.02),←,
11,"Montagna, Leigh",25y 308d,120 (77-1-42 64.58%),68 (0.57),←,
22,"Ray, Farren",23y 167d,98 (56-1-41 57.65%),37 (0.38),23 (21-0-2 91.30%),5 (0.22)
12,"Riewoldt, Nick",26y 324d,180 (100-2-78 56.11%),393 (2.18),←,
13,"Schneider, Adam",25y 117d,139 (90-1-48 65.11%),159 (1.14),41 (30-0-11 73.17%),60 (1.46)
Totals,Totals,26y 50d,2732 (1607-25-1100 58.82%),1855 (0.68),,
C,"Lyon, Ross",42y 302d,70 (46-1-23 66.43%),,←,
