Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",23y 146d,76 (34-2-40 46.05%),44 (0.58),←,
50,"Ballantyne, Jon",22y 293d,12 (6-0-6 50.00%),27 (2.25),←,
35,"Baxter, Darren",27y 59d,112 (52-3-57 47.77%),20 (0.18),←,
18,"Cameron, Leon",19y 258d,41 (20-1-20 50.00%),18 (0.44),←,
6,"Campbell, Tony",24y 278d,83 (45-0-38 54.22%),61 (0.73),8 (6-0-2 75.00%),
20,"Coleman, Glenn",31y 104d,173 (93-2-78 54.34%),96 (0.55),48 (25-1-22 53.13%),32 (0.67)
26,"Del-Re, Danny",24y 95d,28 (15-1-12 55.36%),45 (1.61),←,
32,"Foster, Peter",31y 350d,158 (83-3-72 53.48%),56 (0.35),151 (80-3-68 53.97%),54 (0.36)
29,"Grant, Chris",19y 156d,43 (23-1-19 54.65%),87 (2.02),←,
7,"Hawkins, Doug",32y 12d,273 (112-4-157 41.76%),182 (0.67),←,
21,"Kolyniuk, Steven",21y 317d,51 (26-1-24 51.96%),66 (1.29),←,
39,"Liberatore, Tony",26y 96d,67 (37-1-29 55.97%),41 (0.61),←,
27,"Macpherson, Stephen",27y 167d,146 (70-3-73 48.97%),137 (0.94),←,
25,"Mansfield, Matthew",22y 328d,10 (6-0-4 60.00%),2 (0.20),←,
5,"Moloney, Troy",25y 365d,36 (16-1-19 45.83%),4 (0.11),←,
31,"Smith, Rohan",18y 352d,8 (6-0-2 75.00%),6 (0.75),←,
17,"Standfield, Barry",22y 94d,15 (8-0-7 53.33%),1 (0.07),←,
8,"Toohey, Bernard",29y 89d,231 (116-1-114 50.43%),112 (0.48),8 (6-0-2 75.00%),1 (0.13)
24,"Wallis, Stephen",27y 203d,185 (96-2-87 52.43%),43 (0.23),←,
15,"Wynd, Scott",22y 113d,63 (29-1-33 46.83%),11 (0.17),←,
Totals,Totals,25y 29d,1811 (893-27-891 49.31%),1059 (0.58),,
C,"Wheeler, Terry",37y 65d,52 (27-1-24 52.88%),,←,
