Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
10,"Bateman, Chance",26y 276d,97 (42-0-55 43.30%),30 (0.31),←,
14,"Birchall, Grant",20y 55d,41 (21-0-20 51.22%),5 (0.12),←,
20,"Boyle, Tim",24y 55d,26 (14-0-12 53.85%),35 (1.35),←,
39,"Campbell, Robert",25y 295d,79 (37-0-42 46.84%),19 (0.24),←,
25,"Clarke, Tim",25y 356d,89 (38-0-51 42.70%),36 (0.40),←,
24,"Croad, Trent",28y 14d,203 (93-1-109 46.06%),189 (0.93),165 (73-1-91 44.55%),129 (0.78)
31,"Dew, Stuart",28y 218d,181 (103-3-75 57.73%),247 (1.36),1 (1-0-0 100.00%),2 (2.00)
8,"Ellis, Xavier",20y 24d,14 (9-0-5 64.29%),3 (0.21),←,
23,"Franklin, Lance",21y 53d,57 (24-0-33 42.11%),131 (2.30),←,
27,"Gilham, Stephen",23y 203d,30 (19-0-11 63.33%),1 (0.03),29 (19-0-10 65.52%),1 (0.03)
18,"Guerra, Brent",25y 299d,136 (92-0-44 67.65%),89 (0.65),40 (23-0-17 57.50%),6 (0.15)
4,"Ladson, Rick",24y 34d,75 (30-0-45 40.00%),34 (0.45),←,
5,"Mitchell, Sam",25y 163d,110 (48-0-62 43.64%),18 (0.16),←,
29,"Murphy, Tom",22y 4d,13 (4-0-9 30.77%),3 (0.23),←,
7,"Osborne, Michael",25y 238d,77 (29-0-48 37.66%),28 (0.36),←,
33,"Rioli, Cyril",18y 253d,1 (1-0-0 100.00%),1 (1.00),←,
2,"Roughead, Jarryd",21y 60d,59 (27-0-32 45.76%),61 (1.03),←,
12,"Sewell, Brad",24y 50d,65 (26-0-39 40.00%),5 (0.08),←,
44,"Stokes, Cameron",18y 265d,1 (1-0-0 100.00%),2 (2.00),←,
13,"Taylor, Simon",25y 218d,49 (21-0-28 42.86%),13 (0.27),←,
22,"Tuck, Travis",20y 198d,2 (1-0-1 50.00%),,←,
11,"Young, Clinton",22y 36d,45 (22-0-23 48.89%),14 (0.31),←,
Totals,Totals,23y 203d,1450 (702-4-744 48.41%),964 (0.66),,
C,"Clarkson, Alastair",39y 331d,69 (29-0-40 42.03%),,←,
