Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
15,"Abraham, Winston",8.0,3.0,3.0,11.0,2.0,,,1.0,,4.0,,,1.0,2.0,,6,5.0,,,2.0,,,
11,"Archer, Glenn",14.0,7.0,3.0,17.0,,,,1.0,6.0,,,3.0,1.0,2.0,,8,7.0,1.0,,1.0,3.0,,
26,"Bell, Peter",15.0,3.0,10.0,25.0,1.0,2.0,,2.0,1.0,5.0,8.0,1.0,4.0,2.0,,16,12.0,,,2.0,,,
12,"Blakey, John",10.0,4.0,8.0,18.0,1.0,1.0,,,3.0,4.0,1.0,,,1.0,,8,10.0,2.0,1.0,2.0,1.0,,
22,"Burton, Matthew",1.0,1.0,2.0,3.0,1.0,,14.0,,,,1.0,,,1.0,,2,1.0,1.0,1.0,1.0,,,
17,"Calthorpe, David",7.0,,5.0,12.0,2.0,,,1.0,,,1.0,1.0,,,,9,3.0,,,1.0,,,
16,"Capuano, Mathew",6.0,2.0,,6.0,,,8.0,,1.0,1.0,1.0,1.0,1.0,,,4,1.0,1.0,,,,,
18,"Carey, Wayne",9.0,6.0,2.0,11.0,2.0,2.0,,1.0,,3.0,,,4.0,,,6,6.0,1.0,,1.0,2.0,,
23,"Clayton, Shane",10.0,3.0,5.0,15.0,2.0,3.0,,,,3.0,,2.0,1.0,1.0,,7,8.0,,2.0,1.0,,,
6,"Grant, Shannon",11.0,8.0,13.0,24.0,,,,1.0,7.0,3.0,2.0,3.0,1.0,3.0,,7,20.0,,,3.0,,,
29,"Harvey, Brent",18.0,3.0,8.0,26.0,,2.0,,1.0,,12.0,4.0,1.0,1.0,1.0,,9,17.0,,1.0,3.0,2.0,,
21,"Hewitt, Evan",5.0,5.0,2.0,7.0,3.0,,,,1.0,,1.0,1.0,1.0,1.0,,5,3.0,2.0,3.0,1.0,,,
34,"King, David",16.0,4.0,4.0,20.0,,2.0,,2.0,4.0,4.0,2.0,1.0,2.0,2.0,,4,13.0,1.0,,1.0,3.0,,
27,"Lange, Adam",8.0,1.0,4.0,12.0,1.0,,,,3.0,1.0,2.0,1.0,2.0,,,8,5.0,1.0,,1.0,,,
5,"McCartney, Jason",5.0,2.0,2.0,7.0,,,3.0,,1.0,,1.0,,1.0,,,4,5.0,,,,,,
31,"McKernan, Corey",8.0,6.0,6.0,14.0,1.0,1.0,6.0,,1.0,4.0,1.0,1.0,2.0,3.0,,8,5.0,1.0,,1.0,2.0,,
44,"Motlop, Shannon",8.0,1.0,3.0,11.0,,,,,2.0,4.0,1.0,2.0,1.0,1.0,,7,5.0,,,,2.0,,
39,"Pagan, Ryan",9.0,2.0,2.0,11.0,,,,2.0,,1.0,2.0,1.0,,1.0,,2,10.0,,,,,,
28,"Pickett, Byron",14.0,3.0,3.0,17.0,,1.0,,1.0,8.0,3.0,1.0,3.0,,,,7,9.0,2.0,1.0,3.0,3.0,,
8,"Scott, Robert",,,,,,,,1.0,,,,,1.0,,,1,,,,,,,
7,"Simpson, Adam",13.0,3.0,5.0,18.0,,1.0,2.0,5.0,2.0,3.0,4.0,,2.0,,,6,12.0,,,1.0,,,
10,"Stevens, Anthony",9.0,3.0,9.0,18.0,,,,1.0,1.0,,3.0,4.0,2.0,1.0,,11,7.0,,,4.0,,,
Totals,Totals,204.0,70.0,99.0,303.0,16.0,15.0,33.0,20.0,41.0,55.0,36.0,26.0,28.0,22.0,,145,164.0,13.0,9.0,29.0,18.0,,
Opposition,Opposition,221.0,83.0,120.0,341.0,24.0,10.0,31.0,22.0,34.0,67.0,35.0,34.0,22.0,28.0,6.0,139,199.0,11.0,19.0,20.0,16.0,,
