Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
13,"Adams, Taylor",28y 266d,177 (76-2-99 43.50%),63 (0.36),146 (73-2-71 50.68%),51 (0.35)
6,"Brown, Tyler",22y 186d,26 (13-1-12 51.92%),4 (0.15),←,
14,"Cameron, Darcy",26y 330d,41 (17-1-23 42.68%),36 (0.88),40 (17-1-22 43.75%),36 (0.90)
46,"Cox, Mason",31y 91d,82 (44-0-38 53.66%),95 (1.16),←,
25,"Crisp, Jack",28y 254d,188 (92-2-94 49.47%),58 (0.31),170 (85-2-83 50.59%),48 (0.28)
7,"Daicos, Josh",23y 199d,65 (31-1-33 48.46%),32 (0.49),←,
35,"Daicos, Nick",19y 161d,13 (8-0-5 61.54%),1 (0.08),←,
2,"de Goey, Jordan",26y 90d,130 (66-2-62 51.54%),167 (1.28),←,
5,"Elliott, Jamie",29y 296d,143 (81-2-60 57.34%),207 (1.45),←,
33,"Ginnivan, Jack",19y 186d,16 (9-0-7 56.25%),28 (1.75),←,
16,"Henry, Oliver",19y 319d,20 (9-0-11 45.00%),25 (1.25),←,
32,"Hoskin-Elliott, Will",28y 284d,169 (73-2-94 43.79%),153 (0.91),117 (61-2-54 52.99%),111 (0.95)
38,"Howe, Jeremy",31y 349d,208 (79-2-127 38.46%),91 (0.44),108 (57-2-49 53.70%),11 (0.10)
1,"Lipinski, Patrick",23y 331d,69 (39-0-30 56.52%),37 (0.54),13 (8-0-5 61.54%),7 (0.54)
37,"Maynard, Brayden",25y 266d,149 (71-2-76 48.32%),17 (0.11),←,
31,"McCreery, Beau",21y 55d,23 (10-0-13 43.48%),18 (0.78),←,
41,"Mihocek, Brody",29y 129d,91 (50-1-40 55.49%),150 (1.65),←,
30,"Moore, Darcy",26y 139d,115 (52-2-61 46.09%),67 (0.58),←,
28,"Murphy, Nathan",22y 180d,21 (11-0-10 52.38%),1 (0.05),←,
9,"Noble, John",25y 80d,57 (27-1-29 48.25%),4 (0.07),←,
10,"Pendlebury, Scott",34y 157d,346 (204-3-139 59.39%),183 (0.53),←,
3,"Quaynor, Isaac",22y 149d,48 (21-0-27 43.75%),3 (0.06),←,
22,"Sidebottom, Steele",31y 162d,277 (163-4-110 59.57%),180 (0.65),←,
Totals,Totals,26y 28d,2474 (1246-28-1200 50.36%),1620 (0.65),,
C,"McRae, Craig",48y 264d,13 (8-0-5 61.54%),,←,
