Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
35,"Athorn, Mark",13,2,3,16,,,,,,,,,2.0,1.0,,,,,,,,,
32,"Baldwin, Jason",15,3,1,16,,,,3.0,,,,,3.0,3.0,,,,,,,,,
17,"Broderick, Paul",2,1,3,5,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,
49,"Bunn, Mark",8,2,3,11,,,,1.0,,,,,1.0,,,,,,,,,,
40,"Clayton, Scott",16,6,9,25,,,,2.0,,,,,,,,,,,,,,,
36,"Dundas, Matthew",9,1,,9,5,1.0,,3.0,,,,,2.0,2.0,,,,,,,,,
7,"Gale, Michael",8,4,5,13,1,,,1.0,,,,,1.0,1.0,,,,,,,,,
6,"Ironmonger, John",8,2,2,10,,,16.0,4.0,,,,,6.0,4.0,2.0,,,,,,,,
43,"Johnston, Andrew",21,3,3,24,1,,,2.0,,,,,3.0,,,,,,,,,,
12,"Kickett, Dale",6,2,4,10,2,1.0,,1.0,,,,,,3.0,,,,,,,,,
11,"Lynch, Alastair",6,4,7,13,1,,,,,,,,,1.0,,,,,,,,,
29,"Lyon, Ross",9,5,2,11,,3.0,,,,,,,1.0,1.0,,,,,,,,,
16,"Matera, Wally",3,,6,9,,1.0,,,,,,,1.0,,,,,,,,,,
3,"Pert, Gary",14,7,5,19,,,,,,,,,4.0,1.0,3.0,,,,,,,,
1,"Roos, Paul",12,4,5,17,4,3.0,1.0,1.0,,,,,2.0,1.0,,,,,,,,,
20,"Rowe, Duane",12,3,2,14,,,,4.0,,,,,,,,,,,,,,,
33,"Stephens, Brett",10,7,5,15,,,1.0,2.0,,,,,,1.0,1.0,,,,,,,,
39,"Trewella, Mark",,,,,,,,,,,,,,,,,,,,,,,
34,"Woods, Tony",11,3,8,19,1,1.0,,3.0,,,,,1.0,3.0,,,,,,,,,
8,"Wynd, Jim",14,1,6,20,2,1.0,,3.0,,,,,5.0,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,197,60,79,276,17,14.0,18.0,31.0,,,,,33.0,25.0,6.0,,,,,,,,
Opposition,Opposition,190,60,119,309,10,11.0,14.0,16.0,,,,,25.0,33.0,,,,,,,,,
