Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
7,"Adcock, Jed",22y 212d,66 (29-2-35 45.45%),23 (0.35),←,
20,"Black, Simon",29y 72d,223 (136-3-84 61.66%),140 (0.63),←,
17,"Brennan, Jared",23y 322d,71 (36-2-33 52.11%),49 (0.69),←,
16,"Brown, Jonathan",26y 229d,150 (99-2-49 66.67%),307 (2.05),←,
19,"Charman, Jamie",25y 334d,116 (70-3-43 61.64%),50 (0.43),←,
1,"Clark, Mitch",20y 239d,16 (6-1-9 40.63%),14 (0.88),←,
18,"Corrie, Anthony",23y 358d,45 (21-0-24 46.67%),40 (0.89),←,
39,"Drummond, Josh",25y 56d,38 (18-1-19 48.68%),20 (0.53),←,
33,"Hooper, Rhan",20y 157d,31 (15-1-15 50.00%),30 (0.97),←,
4,"Johnstone, Travis",27y 333d,171 (85-1-85 50.00%),123 (0.72),11 (7-0-4 63.64%),12 (1.09)
23,"Leuenberger, Matthew",20y 7d,18 (9-1-8 52.78%),3 (0.17),←,
26,"Macdonald, Joel",23y 248d,53 (30-0-23 56.60%),6 (0.11),←,
9,"McGrath, Ashley",25y 25d,104 (59-1-44 57.21%),98 (0.94),←,
21,"Merrett, Daniel",23y 185d,58 (25-2-31 44.83%),16 (0.28),←,
8,"Notting, Tim",29y 237d,190 (113-3-74 60.26%),131 (0.69),←,
24,"Patfull, Joel",23y 190d,48 (21-2-25 45.83%),17 (0.35),←,
31,"Polkinghorne, James",19y 145d,2 (1-0-1 50.00%),,←,
6,"Power, Luke",28y 158d,207 (124-2-81 60.39%),189 (0.91),←,
29,"Roe, Jason",24y 93d,35 (16-1-18 47.14%),6 (0.17),←,
28,"Selwood, Troy",24y 44d,56 (24-1-31 43.75%),7 (0.13),←,
11,"Sherman, Justin",21y 140d,66 (27-2-37 42.42%),40 (0.61),←,
32,"Stiller, Cheynee",22y 42d,41 (14-2-25 36.59%),12 (0.29),←,
Totals,Totals,24y 58d,1805 (978-33-794 54.18%),1321 (0.73),,
C,"Matthews, Leigh",56y 105d,451 (264-8-179 59.42%),,227 (139-3-85 61.89%),
