Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
14,"Birchall, Grant",26y 157d,184 (122-1-61 66.58%),27 (0.15),←,
22,"Breust, Luke",23y 235d,81 (66-0-15 81.48%),154 (1.90),←,
9,"Burgoyne, Shaun",31y 256d,259 (175-1-83 67.76%),230 (0.89),102 (78-1-23 76.96%),59 (0.58)
18,"Ceglar, Jonathon",23y 140d,11 (8-0-3 72.73%),5 (0.45),←,
8,"Duryea, Taylor",23y 71d,33 (27-0-6 81.82%),3 (0.09),←,
19,"Gunston, Jack",22y 261d,70 (50-0-20 71.43%),141 (2.01),56 (45-0-11 80.36%),121 (2.16)
20,"Hale, David",30y 43d,211 (120-2-89 57.35%),192 (0.91),82 (64-0-18 78.05%),73 (0.89)
15,"Hodge, Luke",30y 19d,241 (137-1-103 57.05%),161 (0.67),←,
17,"Lake, Brian",32y 127d,223 (113-2-108 51.12%),34 (0.15),26 (23-0-3 88.46%),2 (0.08)
3,"Lewis, Jordan",28y 71d,207 (126-1-80 61.11%),116 (0.56),←,
31,"Dewar, Angus",21y 265d,9 (8-0-1 88.89%),,←,
5,"Mitchell, Sam",31y 265d,252 (148-1-103 58.93%),61 (0.24),←,
28,"Puopolo, Paul",26y 214d,78 (63-0-15 80.77%),57 (0.73),←,
21,"Ross, Ben",25y 286d,17 (7-0-10 41.18%),5 (0.29),3 (2-0-1 66.67%),1 (0.33)
2,"Roughead, Jarryd",27y 162d,198 (124-1-73 62.88%),406 (2.05),←,
25,"Schoenmakers, Ryan",23y 238d,73 (44-0-29 60.27%),12 (0.16),←,
12,"Sewell, Brad",30y 152d,197 (119-1-77 60.66%),31 (0.16),←,
26,"Shiels, Liam",23y 66d,92 (67-0-25 72.83%),27 (0.29),←,
16,"Smith, Isaac",25y 186d,77 (63-0-14 81.82%),71 (0.92),←,
27,"Spangher, Matthew",27y 72d,43 (21-0-22 48.84%),13 (0.30),11 (10-0-1 90.91%),2 (0.18)
24,"Stratton, Ben",25y 125d,83 (58-1-24 70.48%),1 (0.01),←,
4,"Suckling, Matt",25y 344d,69 (49-0-20 71.01%),34 (0.49),←,
Totals,Totals,26y 237d,2708 (1715-12-981 63.33%),1781 (0.66),,
C,"Clarkson, Alastair",46y 68d,223 (135-1-87 60.76%),,←,
