Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",24y 108d,96 (47-2-47 50.00%),57 (0.59),←,
18,"Cameron, Leon",20y 220d,45 (23-1-21 52.22%),20 (0.44),←,
20,"Coleman, Glenn",32y 66d,193 (106-2-85 55.44%),115 (0.60),68 (38-1-29 56.62%),51 (0.75)
16,"Croft, Matthew",20y 43d,8 (4-0-4 50.00%),6 (0.75),←,
26,"Del-Re, Danny",25y 57d,48 (28-1-19 59.38%),112 (2.33),←,
47,"Ellen, Shane",20y 99d,1 (1-0-0 100.00%),,←,
7,"Hawkins, Doug",32y 340d,291 (123-4-164 42.96%),206 (0.71),←,
10,"Hunter, Mark",27y 219d,77 (36-2-39 48.05%),2 (0.03),←,
4,"Kellett, Nigel",23y 113d,40 (22-0-18 55.00%),16 (0.40),←,
21,"Kolyniuk, Steven",22y 279d,66 (34-1-31 52.27%),83 (1.26),←,
35,"Kretiuk, Steven",20y 280d,14 (10-0-4 71.43%),3 (0.21),←,
39,"Liberatore, Tony",27y 58d,87 (50-1-36 58.05%),53 (0.61),←,
27,"Macpherson, Stephen",28y 129d,165 (82-3-80 50.61%),148 (0.90),←,
25,"Mansfield, Matthew",23y 290d,27 (18-0-9 66.67%),5 (0.19),←,
2,"Reynolds, Keenan",24y 93d,45 (26-0-19 57.78%),8 (0.18),←,
17,"Standfield, Barry",23y 56d,35 (21-0-14 60.00%),10 (0.29),←,
8,"Toohey, Bernard",30y 51d,248 (128-1-119 51.81%),113 (0.46),25 (18-0-7 72.00%),2 (0.08)
24,"Wallis, Stephen",28y 165d,204 (108-2-94 53.43%),52 (0.25),←,
14,"West, Scott",18y 147d,3 (2-0-1 66.67%),1 (0.33),←,
15,"Wynd, Scott",23y 75d,82 (42-1-39 51.83%),11 (0.13),←,
Totals,Totals,24y 309d,1775 (911-21-843 51.32%),1021 (0.58),,
C,"Wheeler, Terry",38y 28d,72 (40-1-31 56.25%),,←,
