Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",10,5,9,19,,,,3.0,,,,,,1.0,,,,,,,,,
11,"Buckley, Nathan",17,2,6,23,1,2.0,,,,,,,1.0,1.0,,,,,,,,,
5,"Chapman, Nathan",8,5,3,11,,1.0,,1.0,,,,,,,,,,,,,,,
12,"Clarke, Troy",10,6,9,19,,1.0,,2.0,,,,,2.0,3.0,,,,,,,,,
20,"Craven, Danny",13,1,3,16,,,,1.0,,,,,3.0,1.0,,,,,,,,,
6,"Fletcher, Adrian",12,5,11,23,,,,,,,,,1.0,3.0,,,,,,,,,
29,"Francis, Fabian",10,,5,15,2,3.0,,,,,,,1.0,,,,,,,,,,
4,"Gastev, John",9,2,7,16,,,,2.0,,,,,1.0,1.0,,,,,,,,,
2,"Green, Ashley",4,2,,4,,,,2.0,,,,,1.0,,,,,,,,,,
32,"Hart, Shaun",11,5,1,12,,,,3.0,,,,,1.0,3.0,,,,,,,,,
41,"Kennedy, Matthew",8,3,6,14,,,7.0,3.0,,,,,3.0,1.0,,,,,,,,,
17,"Leslie, Martin",8,7,13,21,,,,1.0,,,,,4.0,1.0,,,,,,,,,
19,"McLean, Michael",16,3,6,22,,,,3.0,,,,,1.0,4.0,1.0,,,,,,,,
24,"Merrett, Roger",10,7,3,13,5,3.0,2.0,1.0,,,,,2.0,3.0,,,,,,,,,
27,"Murphy, Michael",4,2,4,8,1,,,,,,,,,2.0,,,,,,,,,
26,"Noonan, Danny",11,3,7,18,,,,1.0,,,,,2.0,1.0,,,,,,,,,
8,"Peos, Paul",9,3,5,14,,,,2.0,,,,,2.0,,,,,,,,,,
38,"Scott, Dion",9,6,6,15,2,1.0,10.0,3.0,,,,,3.0,1.0,,,,,,,,,
3,"Voss, Michael",11,6,7,18,,,,1.0,,,,,3.0,,,,,,,,,,
33,"White, Darryl",3,1,6,9,1,1.0,2.0,1.0,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,193,74,117,310,12,13.0,21.0,30.0,,,,,31.0,26.0,1.0,,,,,,,,
Opposition,Opposition,216,79,128,344,18,14.0,11.0,18.0,,,,,26.0,31.0,5.0,,,,,,,,
