Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
16,"Barnard, Paul",25y 51d,33 (16-0-17 48.48%),7 (0.21),22 (13-0-9 59.09%),3 (0.14)
8,"Bewick, Darren",30y 227d,174 (105-1-68 60.63%),272 (1.56),←,
32,"Blumfield, Justin",20y 132d,26 (13-0-13 50.00%),8 (0.31),←,
23,"Bolton, Mark",19y 2d,2 (1-0-1 50.00%),1 (0.50),←,
28,"Bomford, Andrew",23y 260d,4 (2-0-2 50.00%),2 (0.50),←,
14,"Calthorpe, David",24y 231d,73 (41-2-30 57.53%),45 (0.62),←,
33,"Caracella, Blake",21y 21d,18 (8-0-10 44.44%),27 (1.50),←,
38,"Denham, Sean",28y 341d,161 (89-4-68 56.52%),63 (0.39),117 (65-4-48 57.26%),42 (0.36)
31,"Fletcher, Dustin",22y 333d,93 (56-3-34 61.83%),32 (0.34),←,
30,"Fraser, Mark",27y 60d,71 (37-2-32 53.52%),34 (0.48),26 (11-2-13 46.15%),11 (0.42)
11,"Hardwick, Damien",25y 230d,67 (37-1-29 55.97%),12 (0.18),←,
26,"Heffernan, Chris",19y 66d,5 (3-0-2 60.00%),1 (0.20),←,
5,"Hird, James",25y 60d,97 (56-4-37 59.79%),169 (1.74),←,
18,"Lloyd, Matthew",19y 354d,38 (17-1-20 46.05%),97 (2.55),←,
25,"Lucas, Scott",20y 96d,38 (19-0-19 50.00%),36 (0.95),←,
2,"Mercuri, Mark",24y 43d,92 (56-3-33 62.50%),130 (1.41),←,
29,"Moorcroft, Gary",21y 354d,14 (7-0-7 50.00%),13 (0.93),←,
3,"OConnor, Ryan",23y 282d,51 (26-3-22 53.92%),41 (0.80),←,
10,"ODonnell, Gary",32y 328d,228 (136-4-88 60.53%),88 (0.39),←,
19,"Somerville, Peter",29y 271d,136 (81-3-52 60.66%),87 (0.64),←,
12,"Symons, Michael",26y 201d,94 (55-3-36 60.11%),77 (0.82),←,
6,"Wellman, Sean",23y 197d,67 (28-2-37 43.28%),11 (0.16),33 (15-1-17 46.97%),2 (0.06)
Totals,Totals,24y 138d,1582 (889-36-657 56.19%),1253 (0.79),,
C,"Sheedy, Kevin",50y 102d,402 (252-5-145 63.31%),,←,
