Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
11,"Bowden, Joel",21y 54d,56 (29-0-27 51.79%),54 (0.96),←,
9,"Campbell, Wayne",26y 325d,181 (82-1-98 45.58%),110 (0.61),←,
6,"Chaffey, Mark",22y 100d,38 (15-0-23 39.47%),7 (0.18),←,
10,"Daffy, Nick",26y 95d,131 (68-1-62 52.29%),163 (1.24),←,
7,"Dragicevic, Marc",18y 137d,15 (6-0-9 40.00%),6 (0.40),←,
19,"Evans, Brett",27y 80d,24 (10-0-14 41.67%),24 (1.00),←,
21,"Funcke, Ross",21y 271d,26 (12-0-14 46.15%),1 (0.04),←,
25,"Gale, Brendon",31y 27d,200 (85-1-114 42.75%),181 (0.90),←,
2,"Gaspar, Darren",23y 86d,102 (46-0-56 45.10%),8 (0.08),81 (39-0-42 48.15%),7 (0.09)
20,"Harrison, Ben",24y 209d,60 (30-0-30 50.00%),32 (0.53),58 (28-0-30 48.28%),32 (0.55)
16,"Holland, Ben",22y 96d,63 (31-0-32 49.21%),73 (1.16),←,
39,"Kellaway, Andrew",23y 264d,32 (15-0-17 46.88%),,←,
3,"Kellaway, Duncan",26y 178d,129 (64-1-64 50.00%),6 (0.05),←,
33,"Knights, Matthew",28y 313d,214 (86-0-128 40.19%),114 (0.53),←,
8,"Merenda, Mark",23y 289d,73 (41-0-32 56.16%),62 (0.85),←,
5,"Ottens, Brad",19y 201d,32 (15-0-17 46.88%),23 (0.72),←,
12,"Richardson, Matthew",24y 148d,119 (57-0-62 47.90%),374 (3.14),←,
4,"Rogers, Matthew",25y 262d,118 (61-1-56 52.12%),81 (0.69),←,
35,"Rombotis, John",22y 305d,44 (7-0-37 15.91%),23 (0.52),9 (3-0-6 33.33%),2 (0.22)
26,"Sampson, Clay",23y 171d,53 (27-0-26 50.94%),30 (0.57),16 (6-0-10 37.50%),13 (0.81)
32,"Tivendale, Greg",20y 117d,10 (3-0-7 30.00%),4 (0.40),←,
41,"Turner, Scott",29y 75d,142 (60-0-82 42.25%),33 (0.23),←,
Totals,Totals,24y 90d,1862 (850-5-1007 45.65%),1409 (0.76),,
C,"Gieschen, Jeff",42y 326d,47 (24-0-23 51.06%),,←,
