Notes,Previous,Current
Greater Western Sydney's highest score,"124 v Melbourne - R19,2013","162 v Essendon - R23,2023"
Greater Western Sydney's biggest win,"37 v Melbourne - R19,2013","126 v Essendon - R23,2023"
