St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
11,"Anderson, Dean",27y 349d,132 (75-1-56 57.20%),97 (0.73),49 (17-1-31 35.71%),23 (0.47)
14,"Bardsley, Kristian",22y 306d,29 (11-1-17 39.66%),17 (0.59),24 (9-1-14 39.58%),13 (0.54)
26,"Brown, Tony",18y 49d,10 (4-0-6 40.00%),5 (0.50),←,
3,"Burke, Nathan",25y 160d,175 (74-2-99 42.86%),58 (0.33),←,
42,"Coghlan, Glen",20y 352d,9 (2-0-7 22.22%),6 (0.67),←,
20,"Dwyer, Mick",26y 242d,80 (30-1-49 38.13%),61 (0.76),←,
35,"Harvey, Robert",23y 329d,127 (61-2-64 48.82%),73 (0.57),←,
29,"Jones, Austinn",18y 291d,15 (4-0-11 26.67%),9 (0.60),←,
40,"Kennedy, Mark",23y 53d,5 (2-0-3 40.00%),,←,
17,"Keogh, Rod",24y 113d,48 (21-0-27 43.75%),14 (0.29),26 (9-0-17 34.62%),6 (0.23)
23,"Loewe, Stewart",27y 54d,184 (77-1-106 42.12%),300 (1.63),←,
24,"Nugent, Glenn",23y 250d,31 (16-0-15 51.61%),11 (0.35),7 (2-0-5 28.57%),
28,"OBrien, Craig",25y 135d,66 (31-1-34 47.73%),114 (1.73),45 (17-1-27 38.89%),98 (2.18)
31,"Shanahan, Jamie",27y 222d,72 (33-1-38 46.53%),,←,
13,"Sierakowski, David",20y 199d,14 (3-1-10 25.00%),2 (0.14),←,
4,"Smith, Joel",18y 74d,13 (4-0-9 30.77%),3 (0.23),←,
19,"Sziller, Steven",22y 213d,15 (4-0-11 26.67%),5 (0.33),←,
9,"Vidovic, Lazar",30y 106d,56 (29-1-26 52.68%),8 (0.14),←,
15,"Wakelin, Darryl",20y 339d,14 (4-0-10 28.57%),,←,
12,"Wakelin, Shane",20y 338d,21 (6-1-14 30.95%),6 (0.29),←,
7,"Winmar, Nicky",29y 294d,168 (72-1-95 43.15%),227 (1.35),←,
Totals,Totals,23y 282d,1284 (563-14-707 43.85%),1016 (0.79),,
C,"Alves, Stan",49y 55d,37 (11-1-25 31.08%),,←,
