Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Armstrong, Matt",,,2,2,,,,1.0,,,,,1.0,,,,,,,,,,
34,"Boyd, Brad",12,2,6,18,2,,2.0,3.0,,,,,2.0,2.0,,,,,,,,,
17,"Broderick, Paul",10,3,10,20,,,1.0,4.0,,,,,1.0,1.0,,,,,,,,,
2,"Dundas, Matthew",13,4,,13,1,,,2.0,,,,,2.0,2.0,,,,,,,,,
18,"Dunstan, Michael",14,3,4,18,1,,,1.0,,,,,1.0,1.0,,,,,,,,,
28,"Elliott, Jamie",9,4,5,14,,,,4.0,,,,,,1.0,,,,,,,,,
7,"Gale, Michael",15,1,8,23,,,,4.0,,,,,1.0,,,,,,,,,,
6,"Guard, Jeremy",4,2,4,8,1,1.0,,2.0,,,,,3.0,,,,,,,,,,
26,"Johnston, David",9,6,5,14,,,,4.0,,,,,1.0,3.0,,,,,,,,,
11,"Lynch, Alastair",19,10,3,22,4,2.0,1.0,,,,,,4.0,4.0,2.0,,,,,,,,
29,"Lyon, Ross",12,5,5,17,1,2.0,,1.0,,,,,1.0,2.0,,,,,,,,,
30,"Manson, James",8,7,9,17,,,10.0,,,,,,3.0,,3.0,,,,,,,,
25,"McCarthy, John",12,5,5,17,2,1.0,2.0,3.0,,,,,2.0,,,,,,,,,,
43,"Morton, Danny",,,1,1,,,,1.0,,,,,,,,,,,,,,,
4,"Paxman, Stephen",4,,1,5,,,,,,,,,3.0,1.0,,,,,,,,,
1,"Roos, Paul",13,2,5,18,,,,2.0,,,,,2.0,1.0,,,,,,,,,
3,"Seecamp, Marcus",4,3,9,13,,,,,,,,,1.0,,,,,,,,,,
12,"Wheildon, Darren",15,12,1,16,4,1.0,,1.0,,,,,,5.0,,,,,,,,,
8,"Wynd, Jim",9,3,2,11,2,1.0,,1.0,,,,,3.0,2.0,,,,,,,,,
16,"Zanotti, Mark",8,2,2,10,1,,,1.0,,,,,1.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,190,74,87,277,19,11.0,16.0,35.0,,,,,32.0,25.0,5.0,,,,,,,,
Opposition,Opposition,188,68,117,305,19,15.0,31.0,25.0,,,,,25.0,32.0,1.0,,,,,,,,
