Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
1,"Ballantyne, Hayden",10,4,8,18,2,,,1.0,1.0,3.0,1.0,4.0,1.0,,,7.0,11.0,,1.0,2.0,,,81.0
41,"Banfield, Bailey",6,2,5,11,,,,4.0,1.0,1.0,1.0,,2.0,,,6.0,6.0,,,1.0,,,80.0
19,"Blakely, Connor",13,9,8,21,,,,1.0,2.0,1.0,,1.0,,,,3.0,17.0,1.0,,1.0,,,83.0
8,"Brayshaw, Andrew",4,2,3,7,,2.0,,4.0,,1.0,,1.0,1.0,,,3.0,4.0,,,2.0,,,61.0
5,"Cerra, Adam",9,5,1,10,,,,1.0,1.0,4.0,,,,,,1.0,9.0,1.0,,,,,75.0
12,"Crowden, Mitch",7,6,6,13,1,1.0,,3.0,1.0,4.0,1.0,2.0,1.0,2.0,,5.0,8.0,,,,,2.0,81.0
7,"Fyfe, Nat",20,5,18,38,1,2.0,,8.0,2.0,7.0,14.0,7.0,2.0,3.0,3.0,24.0,14.0,,1.0,3.0,,1.0,88.0
21,"Hamling, Joel",7,1,4,11,,,,2.0,2.0,2.0,,2.0,1.0,1.0,,5.0,5.0,,,2.0,,,83.0
32,"Hill, Stephen",10,3,8,18,,,,3.0,3.0,2.0,2.0,1.0,,1.0,,5.0,13.0,,,2.0,,1.0,84.0
37,"Johnson, Michael",9,5,2,11,,,,,2.0,1.0,,1.0,,,,2.0,10.0,,,3.0,1.0,,83.0
26,"Langdon, Ed",21,5,6,27,,1.0,,5.0,,9.0,3.0,3.0,,,,8.0,19.0,,1.0,,,1.0,78.0
3,"Matera, Brandon",9,7,6,15,1,1.0,,1.0,1.0,2.0,1.0,2.0,,1.0,,6.0,10.0,1.0,2.0,2.0,1.0,,76.0
23,"McCarthy, Cam",11,7,6,17,3,1.0,,,,4.0,,3.0,3.0,1.0,,5.0,13.0,,3.0,1.0,,1.0,88.0
16,"Mundy, David",11,9,12,23,1,1.0,,3.0,,2.0,1.0,,,,,9.0,14.0,1.0,1.0,1.0,,,81.0
27,"Neale, Lachie",13,5,16,29,,2.0,,1.0,1.0,3.0,7.0,3.0,1.0,,,13.0,12.0,1.0,2.0,,,1.0,78.0
25,"Pearce, Alex",5,3,5,10,,,,4.0,2.0,1.0,,2.0,1.0,,,6.0,4.0,,,7.0,,,96.0
38,"Ryan, Luke",14,5,7,21,,,,1.0,7.0,1.0,,2.0,2.0,2.0,,8.0,14.0,1.0,,5.0,,1.0,87.0
31,"Sandilands, Aaron",5,4,9,14,1,1.0,33.0,,,,3.0,9.0,,5.0,,9.0,4.0,2.0,1.0,6.0,,,83.0
11,"Sheridan, Tom",8,4,6,14,1,,,2.0,2.0,,,1.0,,1.0,,5.0,11.0,,,,,,69.0
20,"Taberner, Matthew",12,7,6,18,,3.0,4.0,1.0,,1.0,,1.0,2.0,1.0,,8.0,10.0,2.0,1.0,2.0,,,94.0
10,"Walters, Michael",16,4,7,23,2,1.0,1.0,6.0,1.0,6.0,1.0,6.0,3.0,3.0,2.0,7.0,15.0,,3.0,1.0,2.0,3.0,86.0
14,"Wilson, Nathan",12,3,6,18,,,,2.0,5.0,4.0,2.0,4.0,1.0,1.0,,9.0,8.0,,,3.0,,,84.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,232,105,155,387,13,18.0,38.0,53.0,34.0,59.0,37.0,55.0,21.0,22.0,5.0,154.0,231.0,10.0,16.0,44.0,4.0,11.0,
Opposition,Opposition,220,95,104,324,10,8.0,29.0,59.0,39.0,46.0,29.0,72.0,22.0,21.0,1.0,135.0,185.0,8.0,11.0,34.0,2.0,6.0,
