North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
33,"Allison, Brett",11,1.0,10,21,,,,,,,,,,1.0,,,,,,,,,
11,"Archer, Glenn",6,,3,9,,,2.0,1.0,,,,,4.0,5.0,,,,,,,,,
12,"Blakey, John",4,1.0,1,5,,,,,,,,,,3.0,,,,,,,,,
14,"Buckley, Ben",1,1.0,1,2,,,,,,,,,,1.0,,,,,,,,,
18,"Carey, Wayne",11,11.0,7,18,4.0,4.0,,,,,,,3.0,3.0,,,,,,,,,
6,"Fairley, Ian",9,3.0,2,11,,,2.0,2.0,,,,,2.0,1.0,,,,,,,,,
26,"Ishchenko, Alex",6,1.0,4,10,,,14.0,1.0,,,,,4.0,1.0,,,,,,,,,
7,"Laidley, Dani",16,6.0,6,22,,1.0,,4.0,,,,,3.0,,2.0,,,,,,,,
9,"Larkin, Matthew",5,,1,6,,,,,,,,,,1.0,,,,,,,,,
35,"Longmire, John",8,5.0,2,10,3.0,1.0,,,,,,,2.0,3.0,,,,,,,,,
4,"Martyn, Mick",4,2.0,2,6,,,,,,,,,1.0,3.0,,,,,,,,,
41,"McAdam, Adrian",10,3.0,2,12,7.0,2.0,,,,,,,2.0,3.0,,,,,,,,,
8,"Pyman, Robert",10,1.0,5,15,3.0,,,2.0,,,,,,,,,,,,,,,
22,"Roberts, Mark",11,6.0,5,16,3.0,,3.0,3.0,,,,,4.0,1.0,,,,,,,,,
3,"Rock, Anthony",10,3.0,10,20,1.0,,,1.0,,,,,2.0,2.0,,,,,,,,,
1,"Romero, Jose",12,4.0,7,19,2.0,,,1.0,,,,,3.0,2.0,,,,,,,,,
2,"Schwass, Wayne",24,2.0,8,32,1.0,1.0,,2.0,,,,,1.0,4.0,3.0,,,,,,,,
24,"Sholl, Craig",15,2.0,4,19,,,,2.0,,,,,1.0,1.0,,,,,,,,,
15,"Smith, Ross",16,10.0,2,18,,,,1.0,,,,,1.0,1.0,,,,,,,,,
10,"Stevens, Anthony",11,1.0,8,19,1.0,,,3.0,,,,,3.0,2.0,,,,,,,,,
Totals,Totals,200,63.0,90,290,25.0,9.0,21.0,23.0,,,,,36.0,38.0,5.0,,,,,,,,
Opposition,Opposition,213,68.0,131,344,17.0,20.0,17.0,13.0,,,,,38.0,36.0,1.0,,,,,,,,
