0,1,2,3,4,5,6
←,"Round: 13 Venue: Perth Stadium Date: Sun, 13-Jun-2021 5:20 PM (7:20 PM) Attendance: 50834","Round: 13 Venue: Perth Stadium Date: Sun, 13-Jun-2021 5:20 PM (7:20 PM) Attendance: 50834","Round: 13 Venue: Perth Stadium Date: Sun, 13-Jun-2021 5:20 PM (7:20 PM) Attendance: 50834","Round: 13 Venue: Perth Stadium Date: Sun, 13-Jun-2021 5:20 PM (7:20 PM) Attendance: 50834","Round: 13 Venue: Perth Stadium Date: Sun, 13-Jun-2021 5:20 PM (7:20 PM) Attendance: 50834",→
←,West Coast,3.0.18,7.1.43,8.3.51,13.7.85,→
←,Richmond,2.2.14,7.5.47,9.9.63,12.9.81,→
←,Qrt margin,WC by 4,RI by 4,RI by 12,WC by 4,→
←,Qrt scores,WC 18-14,RI 33-25,RI 16-8,WC 34-18,→
←,Field umpires,"Leigh Haussen (76), Brett Rosebury (446), Cameron Dore (33)","Leigh Haussen (76), Brett Rosebury (446), Cameron Dore (33)","Leigh Haussen (76), Brett Rosebury (446), Cameron Dore (33)","Leigh Haussen (76), Brett Rosebury (446), Cameron Dore (33)",→
