Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Armstrong, Matt",9,,2,11,,,,1.0,,,,,1.0,,,,,,,,,,
34,"Boyd, Brad",13,2,10,23,,,,1.0,,,,,1.0,3.0,,,,,,,,,
17,"Broderick, Paul",9,7,18,27,,,,1.0,,,,,,2.0,,,,,,,,,
22,"Caven, Peter",5,4,3,8,2,,,,,,,,,1.0,,,,,,,,,
2,"Dundas, Matthew",9,1,6,15,1,2.0,,6.0,,,,,1.0,3.0,,,,,,,,,
18,"Dunstan, Michael",14,3,8,22,,1.0,,1.0,,,,,2.0,,,,,,,,,,
28,"Elliott, Jamie",13,5,8,21,2,,,2.0,,,,,2.0,2.0,,,,,,,,,
6,"Guard, Jeremy",16,2,6,22,,,,3.0,,,,,5.0,1.0,,,,,,,,,
19,"Harding, Dean",7,,8,15,2,1.0,,3.0,,,,,2.0,1.0,,,,,,,,,
26,"Johnston, David",9,1,4,13,,,,3.0,,,,,2.0,,,,,,,,,,
11,"Lynch, Alastair",4,3,6,10,1,,1.0,1.0,,,,,1.0,,,,,,,,,,
29,"Lyon, Ross",6,4,9,15,1,,1.0,2.0,,,,,1.0,1.0,,,,,,,,,
30,"Manson, James",8,7,13,21,,,14.0,1.0,,,,,1.0,,,,,,,,,,
25,"McCarthy, John",6,2,2,8,2,,,,,,,,,,,,,,,,,,
4,"Paxman, Stephen",15,7,4,19,,,2.0,1.0,,,,,2.0,2.0,,,,,,,,,
3,"Seecamp, Marcus",14,4,6,20,,,,1.0,,,,,4.0,,,,,,,,,,
33,"Stephens, Brett",8,8,8,16,1,,,,,,,,1.0,5.0,,,,,,,,,
12,"Wheildon, Darren",1,,1,2,,,,,,,,,,,,,,,,,,,
8,"Wynd, Jim",23,5,6,29,,,,,,,,,1.0,,,,,,,,,,
16,"Zanotti, Mark",16,2,7,23,,,,,,,,,2.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,205,67,135,340,12,7.0,18.0,27.0,,,,,29.0,21.0,,,,,,,,,
Opposition,Opposition,219,98,103,322,17,10.0,23.0,37.0,,,,,21.0,29.0,6.0,,,,,,,,
