St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
26,"Battle, Josh",24y 352d,98 (49-0-49 50.00%),27 (0.28),←,
16,"Butler, Dan",27y 77d,127 (73-0-54 57.48%),151 (1.19),82 (42-0-40 51.22%),98 (1.20)
11,"Clark, Hunter",24y 146d,85 (38-1-46 45.29%),12 (0.14),←,
21,"Cordy, Zaine",26y 296d,130 (71-0-59 54.62%),19 (0.15),12 (8-0-4 66.67%),7 (0.58)
5,"Crouch, Brad",29y 217d,158 (81-0-77 51.27%),55 (0.35),63 (33-0-30 52.38%),21 (0.33)
4,"Gresham, Jade",25y 360d,134 (64-1-69 48.13%),135 (1.01),←,
22,"Higgins, Jack",24y 153d,100 (60-1-39 60.50%),121 (1.21),57 (30-0-27 52.63%),92 (1.61)
8,"Hill, Bradley",30y 41d,231 (138-0-93 59.74%),94 (0.41),82 (44-0-38 53.66%),15 (0.18)
12,"King, Max",23y 43d,70 (34-0-36 48.57%),137 (1.96),←,
19,"Marshall, Rowan",27y 268d,108 (52-0-56 48.15%),52 (0.48),←,
28,"Membrey, Tim",29y 85d,159 (74-2-83 47.17%),260 (1.64),158 (73-2-83 46.84%),260 (1.65)
10,"Owens, Mitch",19y 329d,28 (15-0-13 53.57%),28 (1.00),←,
25,"Phillipou, Mattaes",18y 235d,22 (13-0-9 59.09%),12 (0.55),←,
6,"Ross, Sebastian",30y 104d,197 (82-2-113 42.13%),33 (0.17),←,
43,"Sharman, Cooper",23y 25d,29 (15-0-14 51.72%),26 (0.90),←,
35,"Sinclair, Jack",28y 188d,163 (73-1-89 45.09%),53 (0.33),←,
9,"Steele, Jack",27y 249d,156 (70-1-85 45.19%),58 (0.37),139 (62-1-76 44.96%),49 (0.35)
14,"Stocker, Liam",23y 208d,49 (20-0-29 40.82%),2 (0.04),21 (12-0-9 57.14%),
7,"Wanganeen-Milera, Nasiah",20y 178d,39 (21-0-18 53.85%),4 (0.10),←,
29,"Webster, Jimmy",30y 52d,148 (60-1-87 40.88%),4 (0.03),←,
44,"Wilkie, Callum",27y 162d,107 (54-0-53 50.47%),1 (0.01),←,
17,"Windhager, Marcus",20y 95d,35 (19-0-16 54.29%),6 (0.17),←,
32,"Wood, Mason",29y 340d,115 (60-0-55 52.17%),110 (0.96),50 (30-0-20 60.00%),34 (0.68)
Totals,Totals,25y 294d,2488 (1236-10-1242 49.68%),1400 (0.56),,
C,"Lyon, Ross",56y 284d,327 (185-5-137 57.34%),,143 (89-4-50 63.64%),
