St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
40,"Allen, Tim",20y 302d,2 (1-0-1 50.00%),3 (1.50),←,
29,"Burke, Nathan",21y 185d,92 (35-1-56 38.59%),24 (0.26),←,
15,"Coghlan, Frank",28y 283d,93 (31-1-61 33.87%),41 (0.44),←,
14,"Craven, Danny",24y 99d,21 (12-1-8 59.52%),8 (0.38),←,
44,"Devonport, Craig",21y 195d,31 (12-0-19 38.71%),31 (1.00),←,
2,"Frawley, Danny",27y 336d,163 (48-1-114 29.75%),10 (0.06),←,
6,"Grant, David",25y 3d,132 (42-0-90 31.82%),66 (0.50),←,
27,"Greig, Dean",22y 283d,1 (1-0-0 100.00%),,←,
10,"Harding, Paul",27y 67d,69 (31-1-37 45.65%),9 (0.13),58 (24-1-33 42.24%),7 (0.12)
35,"Harvey, Robert",19y 354d,53 (23-1-29 44.34%),42 (0.79),←,
4,"Lockett, Tony",25y 154d,138 (45-0-93 32.61%),627 (4.54),←,
23,"Loewe, Stewart",23y 79d,114 (41-1-72 36.40%),136 (1.19),←,
5,"McAdam, Gilbert",24y 133d,19 (11-1-7 60.53%),22 (1.16),←,
12,"Morris, Russell",29y 70d,112 (82-2-28 74.11%),68 (0.61),19 (11-1-7 60.53%),16 (0.84)
1,"Newport, Stephen",25y 278d,117 (64-1-52 55.13%),60 (0.51),16 (10-1-5 65.63%),2 (0.13)
41,"Pekin, Tim",26y 200d,147 (69-1-77 47.28%),32 (0.22),40 (20-1-19 51.25%),17 (0.43)
37,"Rice, Dean",23y 146d,101 (39-1-61 39.11%),33 (0.33),←,
26,"Taylor, Kain",23y 300d,49 (14-1-34 29.59%),12 (0.24),←,
50,"Vidovic, Lazar",26y 131d,6 (5-0-1 83.33%),,←,
7,"Winmar, Nicky",25y 319d,93 (36-0-57 38.71%),155 (1.67),←,
Totals,Totals,24y 251d,1553 (642-14-897 41.34%),1379 (0.89),,
C,"Sheldon, Ken",31y 222d,41 (20-1-20 50.00%),,←,
