Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
32,"Bell, Peter",30y 88d,237 (133-0-104 56.12%),204 (0.86),114 (49-0-65 42.98%),84 (0.74)
21,"Black, Heath",27y,154 (56-0-98 36.36%),70 (0.45),100 (34-0-66 34.00%),51 (0.51)
2,"Carr, Josh",26y 29d,136 (93-1-42 68.75%),77 (0.57),31 (16-0-15 51.61%),17 (0.55)
9,"Carr, Matthew",27y 150d,125 (48-1-76 38.80%),52 (0.42),97 (41-0-56 42.27%),50 (0.52)
25,"Dodd, Steven",22y 342d,27 (13-0-14 48.15%),1 (0.04),←,
41,"Duffield, Paul",21y 112d,5 (3-0-2 60.00%),,←,
14,"Grover, Antoni",26y 78d,102 (46-0-56 45.10%),14 (0.14),←,
4,"Hasleby, Paul",24y 350d,137 (57-0-80 41.61%),89 (0.65),←,
37,"Johnson, Michael",21y 220d,20 (11-0-9 55.00%),5 (0.25),←,
20,"Longmuir, Justin",25y 127d,127 (52-0-75 40.94%),153 (1.20),←,
8,"McManus, Shaun",30y 108d,179 (67-0-112 37.43%),78 (0.44),←,
6,"Medhurst, Paul",24y 168d,94 (47-0-47 50.00%),162 (1.72),←,
16,"Mundy, David",20y 312d,26 (14-0-12 53.85%),1 (0.04),←,
28,"Murphy, Ryan",21y 4d,15 (7-0-8 46.67%),12 (0.80),←,
23,"Parker, Shane",33y 99d,215 (82-0-133 38.14%),10 (0.05),←,
29,"Pavlich, Matthew",24y 148d,137 (58-0-79 42.34%),194 (1.42),←,
7,"Peake, Brett",22y 327d,13 (8-0-5 61.54%),5 (0.38),←,
12,"Polak, Graham",21y 346d,69 (38-0-31 55.07%),9 (0.13),←,
3,"Schammer, Byron",20y 341d,62 (35-0-27 56.45%),18 (0.29),←,
17,"Schofield, Jarrad",31y 118d,206 (129-1-76 62.86%),127 (0.62),12 (5-0-7 41.67%),2 (0.17)
22,"Thornton, Scott",23y 259d,42 (22-0-20 52.38%),,←,
19,"Walker, James",27y 133d,138 (56-0-82 40.58%),13 (0.09),←,
Totals,Totals,25y 92d,2266 (1075-3-1188 47.44%),1294 (0.57),,
C,"Connolly, Chris",43y 64d,99 (51-0-48 51.52%),,98 (50-0-48 51.02%),
