St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
2,"Brown, Tony",19y 362d,41 (19-0-22 46.34%),29 (0.71),←,
3,"Burke, Nathan",27y 108d,211 (91-2-118 43.60%),76 (0.36),←,
41,"Campbell, Brad",21y 155d,4 (4-0-0 100.00%),,←,
30,"Coghlan, Glen",22y 300d,27 (11-0-16 40.74%),7 (0.26),←,
10,"Everitt, Peter",23y 22d,77 (34-1-42 44.81%),123 (1.60),←,
35,"Harvey, Robert",25y 277d,163 (79-2-82 49.08%),94 (0.58),←,
6,"Healy, Daniel",23y 22d,7 (4-0-3 57.14%),3 (0.43),←,
24,"Heatley, Jason",25y 93d,7 (5-0-2 71.43%),22 (3.14),4 (2-0-2 50.00%),14 (3.50)
8,"Hudghton, Max",20y 265d,6 (4-0-2 66.67%),,←,
5,"Jones, Austinn",20y 239d,50 (21-0-29 42.00%),45 (0.90),←,
22,"Lappin, Matthew",21y 97d,24 (9-1-14 39.58%),7 (0.29),←,
23,"Loewe, Stewart",29y 2d,222 (96-1-125 43.47%),446 (2.01),←,
1,"Peckett, Justin",24y 232d,80 (32-1-47 40.63%),2 (0.03),←,
31,"Shanahan, Jamie",29y 170d,109 (52-1-56 48.17%),,←,
13,"Sierakowski, David",22y 147d,41 (18-1-22 45.12%),4 (0.10),←,
4,"Smith, Joel",20y 22d,49 (23-0-26 46.94%),41 (0.84),←,
19,"Sziller, Steven",24y 161d,40 (19-0-21 47.50%),11 (0.28),←,
29,"Thompson, Andrew",24y 216d,7 (4-0-3 57.14%),1 (0.14),←,
15,"Wakelin, Darryl",22y 287d,40 (18-0-22 45.00%),2 (0.05),←,
7,"Winmar, Nicky",31y 242d,194 (85-1-108 44.07%),252 (1.30),←,
20,"Young, Matthew",24y 250d,49 (24-0-25 48.98%),12 (0.24),28 (15-0-13 53.57%),6 (0.21)
Totals,Totals,24y 18d,1448 (652-11-785 45.03%),1177 (0.81),,
C,"Alves, Stan",51y 3d,75 (30-1-44 40.67%),,←,
