Notes,Previous,Current
Gold Coast's highest score,"124 v Brisbane Lions - R7,2011","164 v Geelong - R11,2024"
Gold Coast's biggest win,"30 v Greater Western Sydney - R20,2012","95 v Essendon - R1,2025"
