Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
3,"AhMat, Matthew",17y 52d,2 (0-0-2 0.00%),1 (0.50),←,
10,"Ashcroft, Marcus",19y 327d,43 (9-0-34 20.93%),18 (0.42),←,
8,"Cameron, David",27y 136d,56 (25-0-31 44.64%),97 (1.73),15 (3-0-12 20.00%),26 (1.73)
25,"Campbell, Matthew",27y 200d,59 (14-0-45 23.73%),19 (0.32),←,
1,"Champion, Richard",23y 126d,16 (2-0-14 12.50%),6 (0.38),←,
12,"Clarke, Troy",22y 71d,10 (1-0-9 10.00%),6 (0.60),←,
4,"Gastev, John",27y 7d,88 (31-0-57 35.23%),63 (0.72),58 (14-0-44 24.14%),32 (0.55)
5,"Hardie, Brad",28y 312d,148 (53-0-95 35.81%),220 (1.49),101 (25-0-76 24.75%),192 (1.90)
32,"Hart, Shaun",20y 93d,17 (4-0-13 23.53%),3 (0.18),←,
41,"Kennedy, Matthew",21y 195d,19 (3-0-16 15.79%),1 (0.05),←,
17,"Leslie, Martin",28y 274d,51 (12-0-39 23.53%),4 (0.08),←,
50,"Luhrs, Simon",21y 61d,4 (0-0-4 0.00%),,←,
19,"McLean, Michael",26y 168d,115 (50-2-63 44.35%),33 (0.29),20 (3-0-17 15.00%),10 (0.50)
24,"Merrett, Roger",31y 121d,225 (116-2-107 52.00%),247 (1.10),76 (19-0-57 25.00%),99 (1.30)
26,"Noonan, Danny",22y 262d,15 (2-0-13 13.33%),4 (0.27),←,
34,"Ogg, David",23y 268d,7 (0-0-7 0.00%),2 (0.29),←,
23,"Schache, Laurence",23y 305d,15 (3-0-12 20.00%),42 (2.80),←,
48,"Windsor, Ray",19y 7d,7 (2-0-5 28.57%),3 (0.43),←,
35,"Worsfold, Peter",21y 38d,8 (0-0-8 0.00%),11 (1.38),←,
21,"Zanotti, Mark",26y 283d,84 (26-0-58 30.95%),9 (0.11),48 (9-0-39 18.75%),3 (0.06)
Totals,Totals,24y 1d,989 (353-4-632 35.69%),789 (0.80),,
C,"Walls, Robert",41y 28d,219 (118-1-100 54.11%),,20 (3-0-17 15.00%),
