Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",15,7.0,10.0,25,,,,3.0,,,,,1.0,1.0,,,,,,,,,
22,"Bamford, Scott",13,3.0,11.0,24,,,,1.0,,,,,,1.0,,,,,,,,,
5,"Barker, John",15,8.0,4.0,19,,,,5.0,,,,,,1.0,,,,,,,,,
1,"Boyd, Brad",9,3.0,3.0,12,2.0,2.0,,2.0,,,,,2.0,2.0,,,,,,,,,
30,"Carter, Nick",6,4.0,7.0,13,,,,3.0,,,,,,2.0,,,,,,,,,
29,"Cassidy, Brad",3,2.0,2.0,5,1.0,,,2.0,,,,,,,,,,,,,,,
27,"Chandler, Brett",6,,1.0,7,,,,3.0,,,,,1.0,1.0,,,,,,,,,
40,"Clayton, Shane",5,2.0,3.0,8,1.0,,,,,,,,,,,,,,,,,,
24,"Cummings, Trent",5,2.0,5.0,10,,,,,,,,,,,,,,,,,,,
31,"Dent, Matthew",8,2.0,4.0,12,,,,1.0,,,,,,,,,,,,,,,
17,"Hawking, Simon",1,1.0,1.0,2,,,,,,,,,,,,,,,,,,,
10,"Hogg, Jeff",4,,,4,,,,3.0,,,,,,,,,,,,,,,
2,"Johnson, Chris",14,5.0,3.0,17,1.0,,,8.0,,,,,4.0,1.0,,,,,,,,,
38,"McCarthy, Adam",5,1.0,,5,,1.0,,2.0,,,,,,,,,,,,,,,
3,"Mellington, Anthony",1,1.0,2.0,3,1.0,,,2.0,,,,,,,,,,,,,,,
7,"Molloy, Jarrod",12,4.0,6.0,18,,,,5.0,,,,,1.0,1.0,,,,,,,,,
4,"Paxman, Stephen",7,4.0,4.0,11,,,,1.0,,,,,1.0,2.0,,,,,,,,,
8,"Pike, Martin",13,6.0,8.0,21,,,,3.0,,,,,,,,,,,,,,,
12,"Primus, Matthew",10,4.0,10.0,20,,,20.0,1.0,,,,,4.0,5.0,,,,,,,,,
9,"Ramsey, Jason",8,3.0,4.0,12,,,,7.0,,,,,1.0,1.0,,,,,,,,,
37,"Rombotis, John",5,5.0,8.0,13,,,,,,,,,2.0,,,,,,,,,,
Totals,Totals,165,67.0,96.0,261,6.0,3.0,20.0,52.0,,,,,17.0,18.0,,,,,,,,,
Opposition,Opposition,244,95.0,153.0,397,25.0,16.0,20.0,27.0,,,,,18.0,17.0,6.0,,,,,,,,
