Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
12,"Cook, James",9,6,3,12,2,3.0,,,,,,,1.0,1.0,,,,,,,,,
26,"Cox, Simon",8,3,8,16,1,,,1.0,,,,,1.0,2.0,,,,,,,,,
11,"Curley, Todd",11,4,2,13,2,2.0,,1.0,,,,,,,,,,,,,,,
28,"Dimattina, Paul",17,2,10,27,,,,2.0,,,,,2.0,2.0,,,,,,,,,
32,"Ellis, Craig",6,2,4,10,,,,2.0,,,,,1.0,,,,,,,,,,
3,"Grant, Chris",15,7,4,19,,1.0,1.0,3.0,,,,,4.0,4.0,,,,,,,,,
1,"Grgic, Ilija",3,,2,5,1,,3.0,4.0,,,,,1.0,,,,,,,,,,
37,"Hargraves, Daniel",8,6,2,10,3,1.0,1.0,,,,,,1.0,,,,,,,,,,
6,"Johnson, Brad",5,,,5,1,,,,,,,,,,,,,,,,,,
2,"Kolyniuk, Steven",7,3,1,8,,,,1.0,,,,,1.0,,,,,,,,,,
35,"Kretiuk, Steven",,,,,,,,,,,,,,,,,,,,,,,
39,"Liberatore, Tony",12,3,10,22,1,,,6.0,,,,,5.0,4.0,,,,,,,,,
22,"Quill, Peter",17,7,15,32,,,,4.0,,,,,,1.0,1.0,,,,,,,,
36,"Romero, Jose",4,1,,4,,,,,,,,,,,,,,,,,,,
5,"Smith, Rohan",11,2,5,16,1,,,1.0,,,,,1.0,,,,,,,,,,
8,"Southern, Daniel",2,2,3,5,,,,1.0,,,,,,1.0,,,,,,,,,
24,"Wallis, Stephen",8,6,4,12,,,,,,,,,,,,,,,,,,,
25,"Watts, Jason",6,3,4,10,,4.0,,,,,,,,,,,,,,,,,
7,"West, Scott",12,,10,22,,,,1.0,,,,,,2.0,,,,,,,,,
45,"Wira, Brad",11,3,4,15,,,,1.0,,,,,1.0,,,,,,,,,,
15,"Wynd, Scott",5,4,10,15,,,20.0,,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,177,64,101,278,12,13.0,25.0,28.0,,,,,19.0,17.0,1.0,,,,,,,,
Opposition,Opposition,188,78,129,317,20,9.0,21.0,31.0,,,,,17.0,19.0,5.0,,,,,,,,
