Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
26,"Bickley, Mark",12,7,8,20,1,,,7.0,,,,,1.0,1.0,,,,,,,,,
18,"Bond, Troy",11,3,6,17,,1.0,,1.0,,,,,,,,,,,,,,,
19,"Chalmers, Brett",13,3,3,16,,1.0,4.0,2.0,,,,,3.0,1.0,,,,,,,,,
17,"Collins, Matthew",2,,2,4,,,,,,,,,,,,,,,,,,,
14,"Connell, Matthew",15,6,3,18,,,,2.0,,,,,1.0,,,,,,,,,,
13,"Ellen, Shane",6,4,3,9,,,,,,,,,1.0,1.0,,,,,,,,,
34,"Hart, Ben",10,2,2,12,,,,2.0,,,,,2.0,,,,,,,,,,
11,"James, Brett",6,,13,19,,,,1.0,,,,,1.0,1.0,,,,,,,,,
35,"Jameson, Rod",3,1,1,4,,,,1.0,,,,,2.0,1.0,,,,,,,,,
3,"Jarman, Darren",12,4,2,14,1,1.0,,3.0,,,,,1.0,3.0,,,,,,,,,
28,"Johnson, Kane",14,5,7,21,,1.0,,2.0,,,,,3.0,,,,,,,,,,
5,"Koster, Kym",6,2,3,9,1,,,5.0,,,,,1.0,1.0,,,,,,,,,
23,"McLeod, Andrew",10,4,8,18,,,,,,,,,,,,,,,,,,,
6,"Modra, Tony",4,2,,4,1,2.0,,1.0,,,,,1.0,,,,,,,,,,
15,"Pittman, David",7,3,2,9,,1.0,4.0,,,,,,2.0,3.0,,,,,,,,,
52,"Rehn, Shaun",7,2,8,15,1,3.0,14.0,2.0,,,,,2.0,2.0,,,,,,,,,
32,"Ricciuto, Mark",5,1,8,13,,1.0,,4.0,,,,,1.0,1.0,,,,,,,,,
10,"Robran, Matthew",6,3,5,11,,,3.0,,,,,,2.0,,,,,,,,,,
24,"Sampson, Clay",3,,4,7,1,1.0,,2.0,,,,,,2.0,,,,,,,,,
7,"Smart, Nigel",16,3,1,17,,,,3.0,,,,,4.0,,,,,,,,,,
30,"Vardy, Peter",8,3,4,12,1,,,2.0,,,,,1.0,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,6.0,,,,,,,,,,,,,,,,,
Totals,Totals,176,58,93,269,7,18.0,25.0,40.0,,,,,29.0,19.0,,,,,,,,,
Opposition,Opposition,185,80,106,291,16,7.0,18.0,20.0,,,,,19.0,29.0,6.0,,,,,,,,
