Notes,Previous,Current
Fremantle's lowest score,"82 v Essendon - R2,1995","13 v Adelaide - R15,2009"
Fremantle's highest score conceded,"105 v Sydney - R6,1995","181 v Brisbane Lions - R20,1999"
Fremantle's biggest loss,"9 v Essendon - R2,1995","133 v Geelong - R22,2018"
