Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
27,"Alessio, Steven",5,5,5,10,3,,10.0,1.0,,3.0,1.0,1.0,,,,5.0,5.0,2.0,2.0,1.0,1.0,,
16,"Barnard, Paul",4,1,7,11,1,,,1.0,,1.0,,1.0,,1.0,,1.0,9.0,,,,,,
8,"Bewick, Darren",8,2,2,10,,,,1.0,2.0,1.0,2.0,2.0,,,,1.0,8.0,,,2.0,,,
32,"Blumfield, Justin",8,4,6,14,,,,2.0,,2.0,1.0,1.0,2.0,1.0,,6.0,7.0,,,,,,
33,"Caracella, Blake",17,8,4,21,3,3.0,2.0,1.0,1.0,4.0,1.0,2.0,,1.0,,7.0,14.0,,2.0,,,,
22,"Doolan, Ben",3,2,6,9,,,,,,2.0,1.0,1.0,,2.0,,2.0,7.0,,,1.0,,,
31,"Fletcher, Dustin",14,9,5,19,,,2.0,,6.0,,,1.0,1.0,1.0,3.0,11.0,8.0,2.0,,1.0,1.0,,
11,"Hardwick, Damien",10,1,4,14,,,,2.0,4.0,1.0,1.0,2.0,1.0,,,2.0,13.0,,,1.0,,,
26,"Heffernan, Chris",8,5,10,18,,,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,,7.0,12.0,,1.0,2.0,,,
18,"Lloyd, Matthew",11,11,2,13,5,3.0,,2.0,,4.0,,,,,1.0,7.0,6.0,7.0,7.0,1.0,,,
13,"Long, Michael",12,4,6,18,1,,,1.0,1.0,6.0,,2.0,1.0,1.0,,6.0,11.0,,,5.0,2.0,,
10,"McVeigh, Mark",1,,3,4,,,,1.0,,1.0,,1.0,,1.0,,,4.0,,,,,,
2,"Mercuri, Mark",12,3,12,24,,,,,2.0,2.0,5.0,1.0,,,,8.0,15.0,,,,2.0,,
24,"Misiti, Joe",14,2,10,24,,,,,3.0,3.0,2.0,1.0,1.0,1.0,,9.0,15.0,,,1.0,,,
29,"Moorcroft, Gary",4,2,4,8,1,,,1.0,1.0,,2.0,,1.0,2.0,,5.0,3.0,1.0,1.0,,,,
15,"Prior, Michael",15,7,5,20,,1.0,,2.0,4.0,3.0,1.0,3.0,,1.0,,3.0,17.0,,1.0,,,,
43,"Rioli, Dean",14,4,2,16,5,2.0,,3.0,1.0,5.0,1.0,,,,2.0,7.0,9.0,1.0,1.0,4.0,,,
7,"Solomon, Dean",6,7,11,17,1,1.0,,2.0,1.0,2.0,3.0,1.0,,2.0,,9.0,9.0,2.0,2.0,1.0,,,
19,"Somerville, Peter",8,3,1,9,1,,10.0,,1.0,3.0,3.0,,2.0,2.0,,6.0,2.0,2.0,,,,,
21,"Wallis, Dean",5,3,2,7,,,,1.0,4.0,1.0,,,1.0,,,4.0,3.0,1.0,,,,,
6,"Wellman, Sean",14,6,6,20,,,2.0,1.0,2.0,2.0,3.0,,,,,9.0,11.0,,,1.0,2.0,,
35,"Young, Barry",14,2,4,18,,,,4.0,1.0,2.0,1.0,3.0,3.0,3.0,,8.0,9.0,1.0,,3.0,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,207,91,117,324,21,11.0,27.0,27.0,35.0,50.0,32.0,24.0,14.0,20.0,6.0,123.0,197.0,19.0,17.0,24.0,8.0,,
Opposition,Opposition,201,91,108,309,15,14.0,30.0,14.0,22.0,58.0,48.0,33.0,20.0,14.0,,120.0,190.0,19.0,13.0,29.0,8.0,,
