St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
8,"Acres, Blake",21y 261d,38 (18-0-20 47.37%),16 (0.42),←,
15,"Billings, Jack",21y 311d,55 (21-0-34 38.18%),41 (0.75),←,
22,"Brown, Nathan",28y 190d,143 (83-1-59 58.39%),7 (0.05),13 (7-0-6 53.85%),
27,"Bruce, Josh",25y 17d,79 (28-1-50 36.08%),115 (1.46),65 (27-1-37 42.31%),112 (1.72)
2,"Carlisle, Jake",25y 267d,98 (47-0-51 47.96%),56 (0.57),13 (7-0-6 53.85%),2 (0.15)
7,"Dunstan, Luke",22y 147d,62 (25-1-36 41.13%),31 (0.50),←,
14,"Geary, Jarryn",29y 2d,154 (82-1-71 53.57%),25 (0.16),←,
19,"Gilbert, Sam",30y 310d,192 (108-5-79 57.55%),36 (0.19),←,
4,"Gresham, Jade",19y 305d,31 (17-0-14 54.84%),26 (0.84),←,
18,"Longer, Billy",24y 44d,52 (14-0-38 26.92%),2 (0.04),43 (12-0-31 27.91%),2 (0.05)
13,"Lonie, Jack",20y 316d,33 (13-0-20 39.39%),26 (0.79),←,
28,"Membrey, Tim",23y 30d,43 (22-1-20 52.33%),72 (1.67),42 (21-1-20 51.19%),72 (1.71)
11,"Montagna, Leigh",33y 235d,283 (150-5-128 53.89%),153 (0.54),←,
16,"Newnes, Jack",24y 121d,104 (38-1-65 37.02%),30 (0.29),←,
12,"Riewoldt, Nick",34y 251d,329 (164-6-159 50.76%),709 (2.16),←,
17,"Roberton, Dylan",26y 4d,115 (52-0-63 45.22%),19 (0.17),78 (30-0-48 38.46%),14 (0.18)
6,"Ross, Sebastian",24y 49d,72 (27-1-44 38.19%),11 (0.15),←,
35,"Sinclair, Jack",22y 133d,35 (15-0-20 42.86%),24 (0.69),←,
3,"Steven, Jack",27y 89d,145 (57-2-86 40.00%),93 (0.64),←,
25,"Stevens, Koby",26y 7d,81 (34-0-47 41.98%),37 (0.46),7 (4-0-3 57.14%),3 (0.43)
29,"Webster, Jimmy",23y 362d,61 (21-1-39 35.25%),2 (0.03),←,
44,"Weller, Maverick",25y 132d,102 (31-1-70 30.88%),51 (0.50),70 (25-1-44 36.43%),48 (0.69)
Totals,Totals,25y 179d,2307 (1067-27-1213 46.25%),1582 (0.69),,
C,"Richardson, Alan",52y 39d,80 (29-1-50 36.88%),,79 (29-1-49 37.34%),
