North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
28,"Bastinac, Ryan",18y 327d,8 (4-0-4 50.00%),,←,
10,"Cunnington, Ben",18y 319d,4 (3-0-1 75.00%),,←,
27,"Edwards, Aaron",26y 74d,46 (26-1-19 57.61%),56 (1.22),42 (22-1-19 53.57%),54 (1.29)
11,"Firrito, Michael",26y 169d,135 (66-2-67 49.63%),23 (0.17),←,
32,"Garlett, Cruize",21y 70d,7 (3-0-4 42.86%),2 (0.29),←,
22,"Goldstein, Todd",21y 318d,24 (12-1-11 52.08%),13 (0.54),←,
24,"Greenwood, Levi",21y 85d,14 (6-1-7 46.43%),1 (0.07),←,
17,"Grima, Nathan",24y 283d,20 (8-1-11 42.50%),,←,
31,"Hale, David",25y 358d,125 (54-2-69 44.00%),119 (0.95),←,
6,"Hansen, Lachlan",21y 271d,37 (17-1-19 47.30%),13 (0.35),←,
39,"Harding, Leigh",29y 19d,133 (61-3-69 46.99%),156 (1.17),←,
29,"Harvey, Brent",32y 1d,287 (156-3-128 54.88%),329 (1.15),←,
42,"McMahon, Scott",23y 347d,58 (29-1-28 50.86%),24 (0.41),←,
30,"Pratt, Daniel",27y 55d,99 (48-1-50 48.99%),9 (0.09),96 (47-1-48 49.48%),8 (0.08)
3,"Rawlings, Brady",28y 339d,209 (104-2-103 50.24%),60 (0.29),←,
18,"Smith, Josh",24y 71d,8 (5-0-3 62.50%),2 (0.25),←,
9,"Swallow, Andrew",22y 347d,70 (30-1-39 43.57%),34 (0.49),←,
12,"Thomas, Lindsay",22y 76d,62 (28-2-32 46.77%),73 (1.18),←,
16,"Thompson, Scott",24y 6d,36 (11-2-23 33.33%),,←,
8,"Wells, Daniel",25y 101d,138 (69-2-67 50.72%),81 (0.59),←,
19,"Wright, Sam",19y 304d,11 (4-0-7 36.36%),6 (0.55),←,
7,"Ziebell, Jack",19y 76d,18 (8-0-10 44.44%),3 (0.17),←,
Totals,Totals,23y 332d,1549 (752-26-771 48.55%),1004 (0.65),,
C,"Scott, Brad",34y 12d,8 (4-0-4 50.00%),,←,
