Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
11,"Bennell, Harley",22y 269d,75 (18-0-57 24.00%),88 (1.17),←,
13,"Boston, Andrew",21y 97d,12 (2-0-10 16.67%),8 (0.67),←,
12,"Day, Sam",22y 295d,68 (20-0-48 29.41%),46 (0.68),←,
23,"Dixon, Charlie",24y 278d,57 (17-0-40 29.82%),73 (1.28),←,
14,"Hallahan, Mitch",22y 309d,15 (3-0-12 20.00%),3 (0.20),9 (0-0-9 0.00%),1 (0.11)
5,"Harbrow, Jarrod",26y 345d,158 (65-1-92 41.46%),47 (0.30),88 (25-0-63 28.41%),26 (0.30)
28,"Kolodjashnij, Kade",19y 323d,30 (8-0-22 26.67%),7 (0.23),←,
40,"Lemmens, Sean",20y 238d,29 (10-0-19 34.48%),6 (0.21),←,
37,"Lonergan, Jesse",20y 226d,21 (5-0-16 23.81%),2 (0.10),←,
19,"Lynch, Tom",22y 240d,70 (19-0-51 27.14%),99 (1.41),←,
7,"Malceski, Nick",30y 317d,182 (116-2-64 64.29%),67 (0.37),6 (0-0-6 0.00%),
32,"Matera, Brandon",23y 109d,64 (18-0-46 28.13%),68 (1.06),←,
17,"May, Steven",23y 169d,61 (19-0-42 31.15%),15 (0.25),←,
18,"McKenzie, Trent",23y 86d,86 (24-0-62 27.91%),20 (0.23),←,
44,"Miller, Touk",19y 126d,12 (1-0-11 8.33%),4 (0.33),←,
22,"Nicholls, Tom",23y 116d,24 (7-0-17 29.17%),5 (0.21),←,
29,"Raines, Andrew",29y 112d,129 (43-1-85 33.72%),17 (0.13),6 (0-0-6 0.00%),2 (0.33)
35,"Rischitelli, Michael",29y 171d,190 (68-3-119 36.58%),84 (0.44),79 (19-0-60 24.05%),37 (0.47)
8,"Russell, Luke",23y 155d,62 (14-0-48 22.58%),24 (0.39),←,
42,"Saad, Adam",20y 340d,11 (1-0-10 9.09%),1 (0.09),←,
20,"Schade, Henry",21y 263d,8 (1-0-7 12.50%),,←,
6,"Sexton, Alex",21y 207d,33 (8-0-25 24.24%),15 (0.45),←,
Totals,Totals,23y 151d,1397 (487-7-903 34.86%),699 (0.50),,
C,"Eade, Rodney",57y 85d,326 (170-4-152 52.76%),,12 (1-0-11 8.33%),
