Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
1,"Ballantyne, Hayden",23y 331d,37 (21-0-16 56.76%),55 (1.49),←,
26,"Bradley, Kepler",25y 211d,96 (30-1-65 31.77%),70 (0.73),47 (17-0-30 36.17%),56 (1.19)
6,"Broughton, Greg",24y 256d,42 (18-0-24 42.86%),7 (0.17),←,
30,"Clarke, Zac",21y 76d,10 (2-0-8 20.00%),,←,
44,"Crichton, Jesse",19y 359d,12 (5-0-7 41.67%),2 (0.17),←,
15,"Crowley, Ryan",27y 99d,106 (53-0-53 50.00%),80 (0.75),←,
40,"de Boer, Matt",21y 94d,47 (21-0-26 44.68%),12 (0.26),←,
41,"Duffield, Paul",26y 127d,80 (35-0-45 43.75%),21 (0.26),←,
7,"Fyfe, Nat",19y 267d,29 (17-0-12 58.62%),24 (0.83),←,
12,"Griffin, Jonathon",25y 149d,44 (22-0-22 50.00%),9 (0.20),3 (1-0-2 33.33%),2 (0.67)
14,"Grover, Antoni",31y 93d,192 (84-0-108 43.75%),25 (0.13),←,
32,"Hill, Stephen",21y 42d,56 (26-0-30 46.43%),39 (0.70),←,
19,"Hinkley, Clayton",22y 111d,15 (5-0-10 33.33%),3 (0.20),←,
5,"Ibbotson, Garrick",23y 89d,69 (26-0-43 37.68%),18 (0.26),←,
37,"Johnson, Michael",26y 235d,114 (57-0-57 50.00%),41 (0.36),←,
34,"Lower, Nick",23y 354d,30 (12-0-18 40.00%),4 (0.13),10 (5-0-5 50.00%),4 (0.40)
23,"Mayne, Chris",22y 222d,47 (24-0-23 51.06%),53 (1.13),←,
18,"McPharlin, Luke",29y 193d,179 (88-0-91 49.16%),112 (0.63),167 (80-0-87 47.90%),109 (0.65)
16,"Mundy, David",25y 327d,141 (67-0-74 47.52%),56 (0.40),←,
13,"Mzungu, Tendai",25y 104d,4 (2-0-2 50.00%),3 (0.75),←,
29,"Pavlich, Matthew",29y 163d,247 (109-0-138 44.13%),477 (1.93),←,
46,"Pearce, Clancee",20y 232d,19 (7-0-12 36.84%),12 (0.63),←,
Totals,Totals,24y 155d,1616 (731-1-884 45.24%),1123 (0.69),,
C,"Harvey, Mark",46y 1d,86 (36-0-50 41.86%),,←,
