Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Bowden, Joel",10,1,4,14,,,,3.0,5.0,,,1.0,,,,4.0,7.0,,,6.0,1.0,,94.0
7,"Brown, Nathan",14,5,4,18,2,1.0,,2.0,1.0,4.0,1.0,,,,,7.0,12.0,1.0,1.0,,,,85.0
42,"Collins, Andrew",7,3,8,15,1,,,2.0,,3.0,4.0,3.0,,1.0,,6.0,10.0,1.0,,3.0,,1.0,67.0
9,"Cotchin, Trent",7,6,2,9,1,1.0,,4.0,1.0,3.0,,1.0,,1.0,,2.0,9.0,1.0,1.0,1.0,,,64.0
24,"Coughlan, Mark",13,7,15,28,,,,5.0,1.0,4.0,1.0,1.0,1.0,,,9.0,18.0,,,1.0,,,75.0
32,"Cousins, Ben",11,4,13,24,,1.0,,4.0,5.0,3.0,3.0,3.0,2.0,,,10.0,14.0,,,2.0,,1.0,62.0
3,"Deledio, Brett",14,8,6,20,,,,4.0,,4.0,1.0,3.0,1.0,1.0,,5.0,15.0,,2.0,4.0,,1.0,96.0
41,"Foley, Nathan",10,2,9,19,1,,,6.0,3.0,2.0,4.0,5.0,,3.0,,7.0,12.0,,1.0,2.0,,,78.0
44,"Graham, Angus",2,3,5,7,,,8.0,,1.0,,1.0,2.0,,2.0,,2.0,5.0,,,3.0,,,61.0
23,"Jackson, Daniel",13,4,9,22,,1.0,1.0,7.0,,3.0,3.0,3.0,,2.0,,7.0,15.0,,,2.0,,,83.0
16,"McGuane, Luke",3,4,7,10,,,,,1.0,1.0,1.0,1.0,,,,5.0,5.0,,,5.0,,,98.0
40,"Moore, Kelvin",7,5,7,14,,2.0,,2.0,2.0,3.0,,,1.0,,,4.0,11.0,,1.0,2.0,,,92.0
20,"Morton, Mitch",10,6,7,17,2,,,1.0,,3.0,1.0,1.0,,,,7.0,9.0,2.0,2.0,2.0,,2.0,89.0
38,"Nahas, Robin",8,3,,8,5,,,5.0,,,,1.0,1.0,1.0,2.0,3.0,5.0,,2.0,,,,92.0
17,"Newman, Chris",12,3,8,20,,,,6.0,5.0,2.0,1.0,3.0,,1.0,,4.0,12.0,,,5.0,,,94.0
15,"Pettifer, Kayne",14,5,9,23,1,,,,4.0,3.0,2.0,2.0,,,,6.0,15.0,,,,,1.0,83.0
14,"Polo, Dean",1,1,13,14,,,,1.0,,2.0,2.0,1.0,,1.0,,9.0,5.0,,,7.0,,,85.0
4,"Raines, Andrew",7,2,5,12,,,,2.0,3.0,1.0,,3.0,,2.0,,3.0,8.0,,,,,,82.0
5,"Simmonds, Troy",3,2,4,7,1,,11.0,2.0,,,1.0,1.0,1.0,1.0,,3.0,4.0,1.0,,1.0,,,71.0
30,"Tambling, Richard",14,5,5,19,1,,1.0,4.0,1.0,8.0,,2.0,,,,4.0,16.0,,,,1.0,1.0,90.0
21,"Tuck, Shane",10,7,21,31,,,2.0,7.0,,3.0,5.0,4.0,1.0,2.0,,13.0,18.0,,,2.0,,,73.0
35,"White, Matt",8,2,10,18,,,,6.0,2.0,2.0,4.0,2.0,2.0,2.0,,10.0,7.0,,,2.0,,,87.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,198,88,171,369,15,9.0,23.0,73.0,35.0,54.0,35.0,43.0,10.0,20.0,2.0,130.0,232.0,6.0,10.0,50.0,2.0,7.0,
Opposition,Opposition,195,73,129,324,14,18.0,53.0,67.0,38.0,54.0,40.0,33.0,20.0,10.0,4.0,127.0,186.0,8.0,17.0,56.0,7.0,12.0,
