Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",7.0,2.0,12.0,19,,,,3.0,,,,,1.0,,,,,,,,,,
25,"Bews, Andrew",3.0,1.0,4.0,7,,,,2.0,,,,,1.0,,,,,,,,,,
1,"Champion, Richard",10.0,1.0,5.0,15,,,1.0,,,,,,3.0,2.0,,,,,,,,,
5,"Chapman, Nathan",9.0,2.0,3.0,12,,,1.0,3.0,,,,,,2.0,,,,,,,,,
16,"Clarke, Matthew",5.0,4.0,4.0,9,,,18.0,,,,,,1.0,3.0,,,,,,,,,
26,"Corcoran, Shannon",6.0,1.0,,6,,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,
6,"Fletcher, Adrian",8.0,3.0,13.0,21,,,,,,,,,2.0,3.0,,,,,,,,,
32,"Hart, Shaun",7.0,1.0,10.0,17,,,,4.0,,,,,1.0,,,,,,,,,,
41,"Kennedy, Matthew",18.0,2.0,4.0,22,1.0,,,1.0,,,,,4.0,1.0,,,,,,,,,
44,"Lappin, Nigel",2.0,,7.0,9,,,,,,,,,,,,,,,,,,,
34,"Lawrence, Steven",4.0,2.0,5.0,9,,1.0,,2.0,,,,,1.0,,,,,,,,,,
17,"Leslie, Martin",3.0,,2.0,5,,,,1.0,,,,,1.0,3.0,,,,,,,,,
2,"McAdam, Gilbert",6.0,,10.0,16,,2.0,,2.0,,,,,1.0,,,,,,,,,,
7,"McIvor, Scott",6.0,1.0,3.0,9,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,
19,"McLean, Michael",6.0,1.0,1.0,7,,,3.0,2.0,,,,,,1.0,,,,,,,,,
4,"McRae, Craig",9.0,1.0,1.0,10,1.0,,,2.0,,,,,3.0,,,,,,,,,,
24,"Merrett, Roger",4.0,2.0,1.0,5,2.0,1.0,,,,,,,,1.0,,,,,,,,,
38,"Scott, Dion",,,3.0,3,,,7.0,,,,,,,,,,,,,,,,
9,"Starcevich, Craig",9.0,4.0,2.0,11,1.0,,,,,,,,1.0,3.0,,,,,,,,,
3,"Voss, Michael",8.0,,14.0,22,,,,1.0,,,,,3.0,2.0,,,,,,,,,
33,"White, Darryl",7.0,4.0,2.0,9,2.0,,,1.0,,,,,,1.0,,,,,,,,,
Totals,Totals,137.0,32.0,106.0,243,8.0,6.0,31.0,27.0,,,,,25.0,23.0,,,,,,,,,
Opposition,Opposition,188.0,59.0,119.0,307,17.0,18.0,20.0,37.0,,,,,23.0,25.0,6.0,,,,,,,,
