North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
33,"Allison, Brett",28y 118d,174 (94-1-79 54.31%),210 (1.21),←,
11,"Archer, Glenn",23y 181d,95 (59-0-36 62.11%),67 (0.71),←,
14,"Armstrong, Matt",29y 204d,175 (81-0-94 46.29%),89 (0.51),43 (29-0-14 67.44%),18 (0.42)
26,"Bell, Peter",20y 204d,24 (16-0-8 66.67%),24 (1.00),22 (16-0-6 72.73%),22 (1.00)
12,"Blakey, John",30y 59d,224 (109-0-115 48.66%),69 (0.31),89 (57-0-32 64.04%),31 (0.35)
16,"Capuano, Mathew",21y 19d,35 (24-0-11 68.57%),12 (0.34),←,
18,"Carey, Wayne",25y 117d,147 (88-0-59 59.86%),385 (2.62),←,
27,"Crocker, Darren",29y 179d,148 (74-1-73 50.34%),103 (0.70),←,
6,"Fairley, Ian",32y 3d,216 (115-2-99 53.70%),148 (0.69),←,
17,"Freeborn, Glenn",23y 228d,27 (19-0-8 70.37%),14 (0.52),←,
34,"King, David",24y 198d,65 (43-0-22 66.15%),17 (0.26),←,
7,"Laidley, Dani",29y 178d,139 (85-1-53 61.51%),14 (0.10),87 (56-0-31 64.37%),3 (0.03)
4,"Martyn, Mick",28y 21d,175 (97-1-77 55.71%),14 (0.08),←,
31,"McKernan, Corey",22y 277d,70 (48-0-22 68.57%),74 (1.06),←,
22,"Roberts, Mark",31y 85d,163 (81-0-82 49.69%),136 (0.83),86 (55-0-31 63.95%),117 (1.36)
3,"Rock, Anthony",25y 358d,136 (82-0-54 60.29%),115 (0.85),←,
2,"Schwass, Wayne",27y 299d,163 (89-0-74 54.60%),90 (0.55),←,
8,"Scott, Robert",27y 204d,180 (108-1-71 60.28%),194 (1.08),48 (33-0-15 68.75%),30 (0.63)
24,"Sholl, Craig",28y 266d,150 (86-0-64 57.33%),54 (0.36),←,
37,"Simpson, Adam",20y 218d,26 (20-0-6 76.92%),15 (0.58),←,
10,"Stevens, Anthony",25y 81d,130 (77-0-53 59.23%),65 (0.50),←,
Totals,Totals,26y 167d,2662 (1495-7-1160 56.16%),1909 (0.72),,
C,"Pagan, Denis",48y 363d,94 (61-0-33 64.89%),,←,
