St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
26,"Battle, Josh",,,,,,,,,,,,,,,,,,,,,,,
15,"Billings, Jack",17,7,7,24,1,1.0,,2.0,2.0,3.0,1.0,4.0,2.0,1.0,,6.0,18.0,,2.0,,,1.0,83.0
16,"Butler, Dan",7,,4,11,,2.0,,4.0,,3.0,,6.0,,3.0,,7.0,4.0,,,1.0,,,87.0
31,"Byrnes, Ryan",10,4,5,15,2,,,3.0,,1.0,,3.0,2.0,1.0,,4.0,12.0,,,1.0,,2.0,79.0
37,"Connolly, Leo",6,3,4,10,1,,,,2.0,1.0,,,,,,,10.0,,1.0,,,,75.0
5,"Crouch, Brad",9,3,14,23,1,,,3.0,1.0,2.0,,4.0,,2.0,,5.0,15.0,,1.0,1.0,,1.0,80.0
7,"Dunstan, Luke",18,4,11,29,,,,2.0,1.0,7.0,6.0,1.0,4.0,,2.0,10.0,19.0,,,1.0,,,89.0
34,"Highmore, Tom",8,7,8,16,,,,3.0,2.0,,,2.0,,,,8.0,7.0,3.0,,2.0,,,74.0
8,"Hill, Bradley",15,6,10,25,,,,1.0,5.0,2.0,,4.0,1.0,4.0,,4.0,18.0,1.0,,,1.0,,86.0
20,"Howard, Dougal",6,4,9,15,,,,1.0,3.0,,,3.0,,1.0,,5.0,10.0,,,8.0,,,100.0
3,"Jones, Zak",13,3,13,26,,,,2.0,1.0,6.0,10.0,5.0,2.0,3.0,1.0,13.0,14.0,,,1.0,1.0,1.0,62.0
25,"Kent, Dean",7,6,3,10,,1.0,,4.0,,3.0,,1.0,,1.0,,,9.0,,2.0,,,,76.0
12,"King, Max",10,10,3,13,3,,,,,2.0,,2.0,,,,5.0,7.0,5.0,5.0,2.0,,1.0,85.0
21,"Long, Ben",11,9,6,17,1,1.0,,4.0,,5.0,,4.0,2.0,,,4.0,13.0,1.0,2.0,3.0,,1.0,79.0
19,"Marshall, Rowan",10,5,5,15,,,10.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,,9.0,6.0,2.0,1.0,3.0,,,71.0
36,"McKenzie, Daniel",9,6,9,18,1,,,2.0,,2.0,1.0,,,,,4.0,14.0,1.0,,,,1.0,66.0
28,"Membrey, Tim",16,14,1,17,2,1.0,1.0,,,4.0,1.0,4.0,1.0,2.0,,5.0,14.0,2.0,5.0,5.0,,,93.0
6,"Ross, Sebastian",13,7,11,24,,,,2.0,2.0,4.0,2.0,3.0,,1.0,,5.0,20.0,,,1.0,,1.0,89.0
18,"Ryder, Paddy",4,4,4,8,,,21.0,5.0,,1.0,,2.0,,2.0,,6.0,3.0,2.0,,3.0,,1.0,74.0
35,"Sinclair, Jack",14,5,7,21,,,,2.0,5.0,,,1.0,,,,2.0,18.0,,,,,,79.0
9,"Steele, Jack",13,6,19,32,2,1.0,,7.0,3.0,2.0,6.0,,2.0,,3.0,12.0,20.0,,1.0,1.0,1.0,1.0,88.0
29,"Webster, Jimmy",11,8,8,19,,,,2.0,1.0,2.0,,4.0,1.0,1.0,,5.0,13.0,,,2.0,,,86.0
44,"Wilkie, Callum",15,7,3,18,,,,2.0,4.0,1.0,,1.0,1.0,,,6.0,13.0,1.0,,4.0,,1.0,100.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,242,128,164,406,14,11.0,32.0,55.0,34.0,54.0,29.0,56.0,19.0,23.0,6.0,125.0,277.0,18.0,20.0,39.0,3.0,12.0,
Opposition,Opposition,186,84,125,311,8,15.0,24.0,41.0,38.0,43.0,30.0,39.0,23.0,19.0,,114.0,186.0,12.0,10.0,35.0,2.0,2.0,
