North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
15,"Ahern, Paul",23y 345d,22 (10-0-12 45.45%),6 (0.27),←,
18,"Atley, Shaun",27y 302d,203 (102-0-101 50.25%),44 (0.22),←,
50,"Brown, Ben",27y 234d,127 (66-0-61 51.97%),286 (2.25),←,
42,"Campbell, Tom",28y 252d,45 (18-0-27 40.00%),24 (0.53),3 (0-0-3 0.00%),1 (0.33)
14,"Dumont, Trent",25y 11d,88 (35-0-53 39.77%),24 (0.27),←,
22,"Goldstein, Todd",32y 10d,240 (121-1-118 50.63%),124 (0.52),←,
43,"Hall, Aaron",29y 245d,115 (36-1-78 31.74%),83 (0.72),12 (3-0-9 25.00%),7 (0.58)
37,"Hayden, Kyron",21y 34d,6 (2-0-4 33.33%),,←,
4,"Higgins, Shaun",32y 129d,226 (107-1-118 47.57%),221 (0.98),97 (49-0-48 50.52%),93 (0.96)
34,"Macmillan, Jamie",28y 292d,162 (82-0-80 50.62%),45 (0.28),←,
35,"Mahony, Jack",18y 242d,3 (0-0-3 0.00%),,←,
11,"McDonald, Luke",25y 153d,115 (59-0-56 51.30%),16 (0.14),←,
17,"Pittard, Jasper",29y 101d,154 (78-0-76 50.65%),13 (0.08),28 (12-0-16 42.86%),2 (0.07)
13,"Polec, Jared",27y 273d,134 (71-0-63 52.99%),72 (0.54),28 (12-0-16 42.86%),17 (0.61)
8,"Scott, Bailey",20y 2d,6 (1-0-5 16.67%),5 (0.83),←,
12,"Simpkin, Jy",22y 128d,62 (27-0-35 43.55%),30 (0.48),←,
25,"Tarrant, Robbie",31y 77d,154 (74-0-80 48.05%),44 (0.29),←,
31,"Taylor, Curtis",20y 96d,8 (2-0-6 25.00%),5 (0.63),←,
26,"Thomas, Tarryn",20y 108d,26 (12-0-14 46.15%),19 (0.73),←,
19,"Walker, Josh",27y 242d,91 (39-1-51 43.41%),69 (0.76),6 (2-0-4 33.33%),
2,"Williams, Marley",26y 355d,123 (61-0-62 49.59%),11 (0.09),55 (25-0-30 45.45%),5 (0.09)
44,"Zurhaar, Cameron",22y 50d,34 (15-0-19 44.12%),38 (1.12),←,
Totals,Totals,25y 317d,2144 (1018-4-1122 47.48%),1179 (0.55),,
C,"Shaw, Rhyce",38y 269d,18 (9-0-9 50.00%),,←,
