Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
15,"Abraham, Winston",14,4,4,18,1,3.0,,2.0,,,,,1.0,2.0,,,,,,,,,
7,"Allan, Ben",16,6,1,17,,2.0,,3.0,,,,,3.0,2.0,,,,,,,,,
44,"Bandy, Daniel",10,6,4,14,3,1.0,8.0,,,,,,,2.0,,,,,,,,,
13,"Chisholm, Scott",11,2,5,16,,,,3.0,,,,,2.0,1.0,1.0,,,,,,,,
19,"Dhurrkay, Gary",9,3,5,14,1,1.0,,1.0,,,,,1.0,2.0,,,,,,,,,
22,"Godden, Tony",14,6,10,24,1,,,1.0,,,,,2.0,,,,,,,,,,
32,"Harding, Greg",10,3,3,13,,,,,,,,,1.0,1.0,,,,,,,,,
14,"Hunter, Kingsley",2,1,,2,,2.0,,,,,,,,,,,,,,,,,
16,"Hynes, David",8,4,6,14,1,1.0,2.0,,,,,,3.0,1.0,,,,,,,,,
38,"Jones, Anthony",8,2,3,11,,,,2.0,,,,,2.0,,,,,,,,,,
11,"Kickett, Dale",4,2,13,17,,,,3.0,,,,,1.0,4.0,,,,,,,,,
36,"Leach, Quenton",10,3,3,13,,,,,,,,,1.0,,,,,,,,,,
9,"Mann, Peter",10,2,5,15,2,2.0,,,,,,,1.0,3.0,,,,,,,,,
43,"McGovern, Andrew",3,1,3,6,,,,1.0,,,,,,,,,,,,,,,
8,"McManus, Shaun",13,7,9,22,2,1.0,,2.0,,,,,3.0,3.0,3.0,,,,,,,,
45,"Mitchell, Gavin",16,5,9,25,,,,4.0,,,,,2.0,,,,,,,,,,
25,"Norrish, Jason",7,3,9,16,,,,,,,,,1.0,2.0,,,,,,,,,
10,"OReilly, Stephen",6,5,,6,,,1.0,,,,,,1.0,,,,,,,,,,
3,"Rowe, Brad",6,1,3,9,,1.0,,2.0,,,,,1.0,,,,,,,,,,
34,"White, Jeff",3,1,1,4,,,4.0,,,,,,,3.0,,,,,,,,,
4,"Wills, Andrew",12,5,4,16,2,2.0,,5.0,,,,,2.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,6.0,,,,,,,,,,,,,,,,,
Totals,Totals,192,72,100,292,13,22.0,15.0,29.0,,,,,28.0,27.0,4.0,,,,,,,,
Opposition,Opposition,195,86,127,322,9,17.0,20.0,30.0,,,,,27.0,28.0,2.0,,,,,,,,
