Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Franklin, Lance",16,8,2,18,4,4.0,,,,6.0,,3.0,3.0,2.0,3.0,6.0,13.0,1.0,1.0,2.0,,1.0,98.0
39,"Grundy, Heath",8,2,1,9,,,,2.0,7.0,,,3.0,1.0,2.0,,3.0,7.0,,,10.0,,,95.0
4,"Hannebery, Dan",11,6,11,22,1,,,9.0,1.0,3.0,3.0,6.0,3.0,2.0,,8.0,16.0,,,,,,82.0
5,"Heeney, Isaac",11,5,7,18,,1.0,,7.0,3.0,2.0,4.0,1.0,1.0,1.0,,11.0,9.0,1.0,1.0,4.0,,,92.0
29,"Hewett, George",4,,10,14,,,,4.0,2.0,1.0,3.0,3.0,1.0,1.0,,11.0,3.0,,,,,1.0,65.0
15,"Jack, Kieren",12,3,10,22,1,,,11.0,1.0,7.0,2.0,5.0,3.0,2.0,,12.0,12.0,,,1.0,,,77.0
10,"Jones, Zak",17,5,4,21,1,1.0,,3.0,4.0,5.0,,6.0,,1.0,,3.0,18.0,,,,,1.0,86.0
12,"Kennedy, Josh",13,,15,28,1,,,5.0,1.0,4.0,7.0,3.0,,1.0,2.0,16.0,11.0,,,,,,90.0
44,"Lloyd, Jake",15,4,7,22,1,,,2.0,2.0,3.0,,1.0,,1.0,,8.0,15.0,1.0,,,,,88.0
3,"McVeigh, Jarrad",13,2,8,21,,,,3.0,5.0,1.0,2.0,1.0,2.0,,,8.0,11.0,,,3.0,,1.0,80.0
43,"Melican, Lewis",7,3,4,11,,,,2.0,4.0,,,2.0,,,,4.0,8.0,,,6.0,,,90.0
14,"Mills, Callum",12,4,2,14,,,,3.0,3.0,1.0,,3.0,,1.0,,1.0,12.0,,1.0,2.0,,,78.0
35,"Naismith, Sam",2,,7,9,,,45.0,2.0,,,5.0,3.0,1.0,2.0,,8.0,2.0,,,6.0,,,83.0
28,"Newman, Nic",9,3,7,16,,1.0,,4.0,4.0,2.0,,2.0,1.0,,,6.0,9.0,,,,,,71.0
41,"Papley, Tom",9,1,1,10,3,,,8.0,,4.0,2.0,1.0,2.0,,,5.0,4.0,1.0,1.0,2.0,2.0,1.0,81.0
26,"Parker, Luke",7,5,15,22,1,,,3.0,1.0,2.0,2.0,5.0,1.0,2.0,,8.0,16.0,1.0,1.0,1.0,,,82.0
24,"Rampe, Dane",6,4,11,17,,,,2.0,5.0,1.0,1.0,5.0,1.0,3.0,,6.0,10.0,,,7.0,,,92.0
20,"Reid, Sam",2,2,1,3,,1.0,,,,,,,1.0,,,2.0,1.0,1.0,1.0,,,,64.0
27,"Robinson, Dan",4,2,8,12,1,,,8.0,,1.0,1.0,4.0,2.0,2.0,,7.0,4.0,,,2.0,,,83.0
16,"Rohan, Gary",7,5,2,9,,2.0,,2.0,1.0,3.0,,,2.0,,,4.0,5.0,1.0,,2.0,,1.0,77.0
40,"Smith, Nick",7,2,6,13,,,,5.0,1.0,,1.0,3.0,1.0,1.0,,8.0,6.0,,,3.0,,1.0,75.0
22,"Towers, Dean",9,2,7,16,,,2.0,1.0,,4.0,1.0,1.0,1.0,,,7.0,9.0,,,1.0,,1.0,70.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,201,68,146,347,14,12.0,47.0,86.0,45.0,50.0,34.0,61.0,27.0,24.0,5.0,152.0,201.0,7.0,6.0,52.0,2.0,8.0,
Opposition,Opposition,209,69,168,377,12,11.0,51.0,74.0,30.0,59.0,53.0,61.0,24.0,27.0,1.0,159.0,216.0,10.0,5.0,49.0,11.0,4.0,
