Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
26,"Brown, Gavin",30y 318d,217 (107-5-105 50.46%),147 (0.68),←,
17,"Burns, Scott",23y 229d,67 (28-1-38 42.54%),21 (0.31),←,
28,"Crosisca, Gavin",29y 328d,221 (118-5-98 54.52%),62 (0.28),←,
39,"Crow, Scott",24y 234d,67 (27-0-40 40.30%),31 (0.46),54 (21-0-33 38.89%),29 (0.54)
11,"Fuller, Brad",20y 1d,13 (5-0-8 38.46%),10 (0.77),←,
43,"Godden, Luke",19y 322d,20 (7-0-13 35.00%),,←,
40,"King, Clinton",20y 138d,14 (7-0-7 50.00%),7 (0.50),5 (2-0-3 40.00%),3 (0.60)
8,"Mahoney, Josh",20y 282d,18 (6-0-12 33.33%),8 (0.44),←,
25,"Mangin, Stuart",21y 182d,3 (0-0-3 0.00%),2 (0.67),←,
48,"Michael, Mal",21y 46d,26 (12-0-14 46.15%),3 (0.12),←,
1,"Monkhorst, Damian",28y 353d,190 (104-4-82 55.79%),44 (0.23),←,
6,"Patterson, Stephen",27y 217d,75 (32-1-42 43.33%),68 (0.91),←,
35,"Prestigiacomo, Simon",20y 190d,28 (10-0-18 35.71%),2 (0.07),←,
46,"Raso, Frankie",18y 331d,10 (3-0-7 30.00%),1 (0.10),←,
3,"Richardson, Mark",25y 282d,81 (39-1-41 48.77%),56 (0.69),←,
36,"Rocca, Saverio",24y 262d,129 (62-2-65 48.84%),447 (3.47),←,
12,"Schauble, Andrew",21y 265d,63 (25-0-38 39.68%),10 (0.16),←,
13,"Tape, Jamie",24y 126d,79 (39-1-39 50.00%),5 (0.06),4 (0-0-4 0.00%),1 (0.25)
20,"Tarrant, Chris",17y 325d,8 (4-0-4 50.00%),2 (0.25),←,
21,"Tuckey, Brent",18y 347d,3 (0-0-3 0.00%),,←,
16,"Wasley, James",19y 21d,3 (0-0-3 0.00%),,←,
14,"Watson, Shane",24y 173d,127 (59-1-67 46.85%),96 (0.76),←,
Totals,Totals,22y 359d,1462 (694-21-747 47.47%),1022 (0.70),,
C,"Shaw, Tony",38y 17d,63 (26-0-37 41.27%),,←,
