Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
27,"Ball, Jason",31y 162d,155 (92-0-63 59.35%),154 (0.99),52 (29-0-23 55.77%),40 (0.77)
21,"Barry, Leo",26y 348d,128 (70-0-58 54.69%),50 (0.39),←,
42,"Bevan, Paul",19y 217d,6 (3-0-3 50.00%),3 (0.50),←,
6,"Bolton, Craig",23y 336d,59 (35-0-24 59.32%),11 (0.19),30 (18-0-12 60.00%),1 (0.03)
24,"Bolton, Jude",24y 47d,97 (48-1-48 50.00%),58 (0.60),←,
28,"Crouch, Jared",26y 57d,138 (70-1-67 51.09%),30 (0.22),←,
2,"Davis, Nick",24y 32d,98 (45-0-53 45.92%),126 (1.29),27 (15-0-12 55.56%),41 (1.52)
15,"Doyle, Stephen",22y 293d,24 (13-1-10 56.25%),14 (0.58),←,
12,"Fosdike, Nic",24y 65d,98 (49-1-48 50.51%),44 (0.45),←,
37,"Goodes, Adam",24y 114d,117 (58-1-58 50.00%),138 (1.18),←,
1,"Hall, Barry",27y 83d,135 (58-2-75 43.70%),283 (2.10),47 (24-1-22 52.13%),139 (2.96)
18,"James, Heath",24y 55d,13 (7-0-6 53.85%),,←,
17,"Kennelly, Tadhg",22y 305d,57 (32-0-25 56.14%),20 (0.35),←,
31,"Kirk, Brett",27y 189d,79 (40-1-38 51.27%),40 (0.51),←,
4,"Mathews, Ben",25y 154d,116 (59-1-56 51.29%),19 (0.16),←,
11,"Maxfield, Stuart",32y 22d,266 (132-3-131 50.19%),146 (0.55),177 (97-2-78 55.37%),81 (0.46)
3,"McVeigh, Jarrad",19y 24d,6 (3-0-3 50.00%),2 (0.33),←,
5,"OKeefe, Ryan",23y 98d,49 (26-0-23 53.06%),43 (0.88),←,
45,"Rogers, Aaron",20y 117d,1 (0-0-1 0.00%),,←,
22,"Saddington, Jason",24y 191d,131 (66-1-64 50.76%),37 (0.28),←,
13,"Schneider, Adam",19y 355d,29 (18-0-11 62.07%),38 (1.31),←,
10,"Williams, Paul",31y 28d,260 (117-3-140 45.58%),294 (1.13),71 (36-1-34 51.41%),71 (1.00)
Totals,Totals,24y 282d,2062 (1041-16-1005 50.48%),1550 (0.75),,
C,"Roos, Paul",40y 309d,40 (24-0-16 60.00%),,←,
