Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",19y 207d,27 (6-0-21 22.22%),16 (0.59),←,
22,"Bain, David",24y 353d,46 (11-0-35 23.91%),32 (0.70),←,
25,"Campbell, Matthew",27y 80d,49 (12-0-37 24.49%),18 (0.37),←,
1,"Champion, Richard",23y 6d,4 (0-0-4 0.00%),1 (0.25),←,
4,"Gastev, John",26y 252d,72 (28-0-44 38.89%),55 (0.76),42 (11-0-31 26.19%),24 (0.57)
14,"Hamilton, Shane",20y 245d,31 (12-0-19 38.71%),45 (1.45),4 (0-0-4 0.00%),5 (1.25)
5,"Hardie, Brad",28y 192d,132 (50-0-82 37.88%),186 (1.41),85 (22-0-63 25.88%),158 (1.86)
9,"Ishchenko, Alex",27y,64 (24-0-40 37.50%),22 (0.34),34 (8-0-26 23.53%),12 (0.35)
16,"Lester-Smith, Rod",31y 276d,106 (60-1-45 57.08%),37 (0.35),36 (8-0-28 22.22%),14 (0.39)
19,"McLean, Michael",26y 48d,99 (47-2-50 48.48%),23 (0.23),4 (0-0-4 0.00%),
24,"Merrett, Roger",31y 1d,209 (113-2-94 54.55%),227 (1.09),60 (16-0-44 26.67%),79 (1.32)
26,"Noonan, Danny",22y 142d,3 (0-0-3 0.00%),,←,
28,"OBrien, Cameron",24y 204d,37 (12-0-25 32.43%),48 (1.30),36 (12-0-24 33.33%),48 (1.33)
31,"OKeeffe, David",29y 59d,117 (44-0-73 37.61%),47 (0.40),67 (18-0-49 26.87%),25 (0.37)
30,"Ryan, Matthew",23y 322d,57 (21-1-35 37.72%),53 (0.93),2 (0-0-2 0.00%),1 (0.50)
23,"Schache, Laurence",23y 185d,2 (0-0-2 0.00%),,←,
42,"Strempel, Shane",22y 89d,1 (0-0-1 0.00%),,←,
46,"Wearne, David",20y 345d,12 (2-0-10 16.67%),1 (0.08),←,
35,"Worsfold, Peter",20y 283d,1 (0-0-1 0.00%),1 (1.00),←,
21,"Zanotti, Mark",26y 163d,72 (25-0-47 34.72%),7 (0.10),36 (8-0-28 22.22%),1 (0.03)
Totals,Totals,25y 8d,1141 (467-6-668 40.93%),819 (0.72),,
C,"Walls, Robert",40y 273d,203 (115-1-87 56.90%),,4 (0-0-4 0.00%),
