Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
19,"Allison, Jacob",20y 12d,7 (1-0-6 14.29%),1 (0.14),←,
31,"Andrews, Harris",21y 138d,64 (12-0-52 18.75%),8 (0.13),←,
33,"Bailey, Zac",18y 217d,3 (0-0-3 0.00%),1 (0.33),←,
9,"Beams, Dayne",28y 75d,152 (82-2-68 54.61%),150 (0.99),42 (6-0-36 14.29%),32 (0.76)
13,"Berry, Jarrod",20y 82d,22 (3-0-19 13.64%),10 (0.45),←,
23,"Cameron, Charlie",23y 297d,79 (47-1-31 60.13%),98 (1.24),6 (0-0-6 0.00%),11 (1.83)
3,"Christensen, Allen",26y 344d,104 (54-0-50 51.92%),87 (0.84),39 (5-0-34 12.82%),31 (0.79)
26,"Cutler, Tom",23y 67d,49 (11-0-38 22.45%),21 (0.43),←,
27,"Gardiner, Darcy",22y 218d,68 (16-0-52 23.53%),4 (0.06),←,
30,"Hipwood, Eric",20y 227d,36 (7-0-29 19.44%),50 (1.39),←,
35,"Lester, Ryan",25y 245d,107 (30-0-77 28.04%),45 (0.42),←,
12,"Martin, Stefan",31y 162d,142 (32-1-109 22.89%),39 (0.27),85 (18-0-67 21.18%),16 (0.19)
6,"McCluggage, Hugh",20y 56d,24 (4-0-20 16.67%),10 (0.42),←,
46,"McInerney, Oscar",23y 292d,1 (0-0-1 0.00%),,←,
25,"McStay, Daniel",22y 308d,64 (13-0-51 20.31%),33 (0.52),←,
16,"Rayner, Cam",18y 189d,6 (0-0-6 0.00%),4 (0.67),←,
10,"Rich, Daniel",27y 325d,167 (52-1-114 31.44%),101 (0.60),←,
18,"Robertson, Nick",22y 329d,53 (7-0-46 13.21%),8 (0.15),←,
5,"Robinson, Mitch",28y 325d,154 (59-1-94 38.64%),81 (0.53),54 (8-0-46 14.81%),23 (0.43)
28,"Taylor, Lewis",23y 70d,91 (18-0-73 19.78%),66 (0.73),←,
29,"Witherden, Alex",19y 230d,15 (2-0-13 13.33%),2 (0.13),←,
15,"Zorko, Dayne",29y 78d,128 (37-0-91 28.91%),140 (1.09),←,
Totals,Totals,23y 228d,1536 (487-6-1043 31.71%),959 (0.62),,
C,"Fagan, Chris",56y 309d,28 (5-0-23 17.86%),,←,
