Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
35,"Akermanis, Jason",18y 127d,8 (2-0-6 25.00%),9 (1.13),←,
10,"Ashcroft, Marcus",23y 279d,117 (30-1-86 26.07%),65 (0.56),←,
1,"Champion, Richard",27y 78d,85 (21-1-63 25.29%),32 (0.38),←,
5,"Chapman, Nathan",20y 55d,33 (6-0-27 18.18%),11 (0.33),←,
16,"Clarke, Matthew",21y 286d,34 (13-0-21 38.24%),3 (0.09),←,
20,"Craven, Danny",28y 59d,58 (24-1-33 42.24%),17 (0.29),25 (6-0-19 24.00%),7 (0.28)
6,"Fletcher, Adrian",25y 264d,97 (41-0-56 42.27%),47 (0.48),52 (16-0-36 30.77%),27 (0.52)
8,"Gowers, Andrew",26y 81d,101 (63-0-38 62.38%),55 (0.54),12 (4-0-8 33.33%),1 (0.08)
32,"Hart, Shaun",24y 45d,72 (16-1-55 22.92%),37 (0.51),←,
21,"Hodges, Shane",20y 179d,3 (1-0-2 33.33%),,←,
41,"Kennedy, Matthew",25y 147d,83 (20-0-63 24.10%),21 (0.25),←,
44,"Lappin, Nigel",19y 10d,27 (10-0-17 37.04%),15 (0.56),←,
23,"Leppitsch, Justin",19y 273d,20 (6-0-14 30.00%),13 (0.65),←,
2,"McAdam, Gilbert",28y 93d,82 (42-1-39 51.83%),75 (0.91),29 (12-0-17 41.38%),27 (0.93)
7,"McIvor, Scott",28y 326d,175 (61-0-114 34.86%),89 (0.51),120 (35-0-85 29.17%),74 (0.62)
4,"McRae, Craig",21y 282d,13 (4-0-9 30.77%),11 (0.85),←,
24,"Merrett, Roger",35y 73d,286 (133-3-150 47.03%),387 (1.35),137 (36-1-100 26.64%),239 (1.74)
22,"Scott, Chris",19y 59d,24 (8-0-16 33.33%),17 (0.71),←,
38,"Scott, Dion",25y 91d,35 (11-0-24 31.43%),19 (0.54),29 (10-0-19 34.48%),19 (0.66)
3,"Voss, Michael",19y 359d,45 (15-0-30 33.33%),31 (0.69),←,
33,"White, Darryl",22y 19d,58 (17-1-40 30.17%),51 (0.88),←,
Totals,Totals,23y 308d,1456 (544-9-903 37.36%),1005 (0.69),,
C,"Walls, Robert",44y 345d,298 (139-2-157 46.98%),,99 (24-1-74 24.75%),
