Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",20y 297d,58 (12-1-45 21.55%),35 (0.60),←,
1,"Champion, Richard",24y 95d,34 (5-1-28 16.18%),13 (0.38),←,
12,"Clarke, Troy",23y 40d,27 (4-1-22 16.67%),12 (0.44),←,
4,"Gastev, John",27y 342d,106 (34-1-71 32.55%),66 (0.62),76 (17-1-58 23.03%),35 (0.46)
34,"Green, Ashley",19y 103d,15 (3-1-11 23.33%),1 (0.07),←,
14,"Hamilton, Shane",21y 335d,53 (15-0-38 28.30%),62 (1.17),26 (3-0-23 11.54%),22 (0.85)
11,"Hutton, John",26y 53d,15 (3-1-11 23.33%),34 (2.27),←,
8,"Jeffrey, Russell",26y 163d,49 (18-0-31 36.73%),4 (0.08),7 (2-0-5 28.57%),1 (0.14)
41,"Kennedy, Matthew",22y 165d,33 (5-0-28 15.15%),8 (0.24),←,
17,"Leslie, Martin",29y 244d,68 (14-1-53 21.32%),6 (0.09),←,
40,"McLuckie, Steven",19y 157d,13 (3-1-9 26.92%),8 (0.62),←,
24,"Merrett, Roger",32y 90d,238 (118-3-117 50.21%),257 (1.08),89 (21-1-67 24.16%),109 (1.22)
26,"Noonan, Danny",23y 232d,34 (5-1-28 16.18%),15 (0.44),←,
5,"Owen, Rod",25y 169d,75 (23-0-52 30.67%),134 (1.79),6 (2-0-4 33.33%),12 (2.00)
13,"Potter, Craig",26y 181d,50 (24-0-26 48.00%),19 (0.38),8 (2-0-6 25.00%),3 (0.38)
27,"Rendell, Matthew",33y 91d,172 (89-1-82 52.03%),106 (0.62),8 (2-0-6 25.00%),5 (0.63)
6,"Retzlaff, Brendon",23y 87d,12 (3-1-8 29.17%),2 (0.17),←,
56,"Voss, Michael",17y 11d,1 (1-0-0 100.00%),,←,
33,"White, Darryl",19y 36d,16 (3-1-12 21.88%),14 (0.88),←,
21,"Zanotti, Mark",27y 253d,96 (28-0-68 29.17%),11 (0.11),60 (11-0-49 18.33%),5 (0.08)
Totals,Totals,24y 175d,1165 (410-15-740 35.19%),807 (0.69),,
C,"Walls, Robert",41y 363d,238 (121-2-115 51.26%),,39 (6-1-32 16.67%),
